timestamp,x,y,z,w
1501625065357608,-0.300049,0.518494,-0.759399,-0.253906
1501625065381611,-0.30011,0.518372,-0.75946,-0.254028
1501625065397622,-0.300049,0.518372,-0.75946,-0.254028
1501625065417650,-0.300049,0.518372,-0.75946,-0.254028
1501625065442656,-0.300049,0.518677,-0.759277,-0.253967
1501625065457665,-0.300049,0.519043,-0.759155,-0.253662
1501625065503712,-0.300171,0.519531,-0.758789,-0.253418
1501625065504712,-0.300232,0.519897,-0.758667,-0.252991
1501625065516720,-0.300415,0.520081,-0.758667,-0.252502
1501625065538721,-0.300781,0.520325,-0.758423,-0.252136
1501625065563753,-0.301025,0.52063,-0.75824,-0.251831
1501625065577766,-0.30127,0.520752,-0.758179,-0.251465
1501625065619778,-0.301514,0.521057,-0.758118,-0.250854
1501625065629800,-0.301575,0.521729,-0.757813,-0.250244
1501625065636805,-0.301758,0.522522,-0.757507,-0.249451
1501625065657822,-0.30188,0.523254,-0.757141,-0.248657
1501625065680836,-0.302185,0.524109,-0.756653,-0.247864
1501625065694831,-0.302612,0.524902,-0.756226,-0.247192
1501625065717862,-0.303223,0.525574,-0.755737,-0.246582
1501625065740878,-0.303772,0.526123,-0.75531,-0.24585
1501625065754888,-0.304443,0.526611,-0.754944,-0.245117
1501625065777905,-0.305054,0.527161,-0.754639,-0.244202
1501625065800906,-0.305542,0.527771,-0.754333,-0.243164
1501625065822921,-0.306091,0.528198,-0.754211,-0.241882
1501625065837947,-0.30658,0.528748,-0.754028,-0.240723
1501625065860963,-0.307007,0.529419,-0.753723,-0.239624
1501625065882965,-0.307312,0.53009,-0.753357,-0.238708
1501625065897975,-0.307617,0.530823,-0.752991,-0.238037
1501625065920991,-0.307861,0.531494,-0.752686,-0.237305
1501625065943006,-0.308105,0.531921,-0.752502,-0.236511
1501625065958032,-0.308472,0.532166,-0.75238,-0.235779
1501625065981033,-0.308838,0.532349,-0.752319,-0.235168
1501625066003048,-0.309265,0.532715,-0.752014,-0.234741
1501625066018059,-0.309692,0.53302,-0.751709,-0.234497
1501625066041090,-0.310059,0.533264,-0.751404,-0.234375
1501625066063106,-0.310486,0.533386,-0.75116,-0.234314
1501625066078102,-0.310852,0.533508,-0.750916,-0.234253
1501625066101132,-0.311279,0.533569,-0.750793,-0.234131
1501625066123149,-0.311462,0.533691,-0.75061,-0.23407
1501625066138159,-0.311462,0.533691,-0.75061,-0.23407
1501625066161175,-0.311462,0.533691,-0.75061,-0.23407
1501625066183175,-0.311462,0.533691,-0.75061,-0.23407
1501625066198202,-0.311462,0.533752,-0.75061,-0.234009
