timestamp,x,y,z,w
1501624615134181,-0.137695,0.631775,-0.697937,-0.307922
1501624615158253,-0.137451,0.631836,-0.697815,-0.308167
1501624615173264,-0.137329,0.631714,-0.697815,-0.308411
1501624615194360,-0.137268,0.631531,-0.697876,-0.308777
1501624615218376,-0.137024,0.63147,-0.697754,-0.309265
1501624615234349,-0.13678,0.631348,-0.697693,-0.309753
1501624615280377,-0.136414,0.631348,-0.697632,-0.310059
1501624615281365,-0.136414,0.631348,-0.697693,-0.309998
1501624615293428,-0.136414,0.631348,-0.697693,-0.309998
1501624615319492,-0.136414,0.631287,-0.697693,-0.309998
1501624615337541,-0.136597,0.631226,-0.697815,-0.309814
1501624615351496,-0.136902,0.631165,-0.697876,-0.309692
1501624615375550,-0.137085,0.631165,-0.697937,-0.309448
1501624615404589,-0.137329,0.631226,-0.697937,-0.309204
1501624615416551,-0.137634,0.631409,-0.697815,-0.309021
1501624615434554,-0.137817,0.63147,-0.697815,-0.308838
1501624615457625,-0.138062,0.631531,-0.697815,-0.308533
1501624615471634,-0.138123,0.631531,-0.697876,-0.308289
1501624615494651,-0.138123,0.631592,-0.697998,-0.307983
1501624615517667,-0.138123,0.631653,-0.69812,-0.307617
1501624615531677,-0.138123,0.631592,-0.698303,-0.307312
1501624615554693,-0.137939,0.631653,-0.698425,-0.307007
1501624615577790,-0.137695,0.631653,-0.698608,-0.306641
1501624615591799,-0.137634,0.631592,-0.698853,-0.306213
1501624615614829,-0.137573,0.631531,-0.699097,-0.305908
1501624615637842,-0.137573,0.631409,-0.69928,-0.305664
1501624615651890,-0.137634,0.631409,-0.699341,-0.305542
1501624615674907,-0.137573,0.631287,-0.699463,-0.305542
1501624615697871,-0.137512,0.631165,-0.699524,-0.305664
1501624615711885,-0.137512,0.630981,-0.699524,-0.305969
1501624615734949,-0.137512,0.631042,-0.699402,-0.306213
1501624615757923,-0.137512,0.630981,-0.69928,-0.306519
1501624615771933,-0.137512,0.630981,-0.699219,-0.306763
1501624615794952,-0.13739,0.63092,-0.699219,-0.307007
1501624615818001,-0.137085,0.630859,-0.699219,-0.30719
1501624615831963,-0.136719,0.630798,-0.69928,-0.307312
1501624615854983,-0.13623,0.630676,-0.699463,-0.307373
1501624615876995,-0.135681,0.630676,-0.699524,-0.307373
1501624615900066,-0.135071,0.630615,-0.699768,-0.307373
1501624615915076,-0.134216,0.630554,-0.700012,-0.307251
1501624615937173,-0.133484,0.630615,-0.700134,-0.307251
1501624615960189,-0.132813,0.630615,-0.700256,-0.307129
1501624615975199,-0.132324,0.630615,-0.700439,-0.307007
1501624615997216,-0.132324,0.630615,-0.700439,-0.306946
1501624616020232,-0.132385,0.630432,-0.700623,-0.306885
1501624616035188,-0.13269,0.63031,-0.700684,-0.306885
1501624616057258,-0.132996,0.63031,-0.700623,-0.306885
1501624616080274,-0.133423,0.630188,-0.700562,-0.306946
1501624616095230,-0.133972,0.630127,-0.700562,-0.307068
1501624616117301,-0.134399,0.630066,-0.700439,-0.30719
1501624616140261,-0.134705,0.630005,-0.700378,-0.307312
1501624616155327,-0.134766,0.630005,-0.700378,-0.307312
1501624616177342,-0.134766,0.630005,-0.700378,-0.307312
1501624616200360,-0.134766,0.630066,-0.700317,-0.307312
1501624616215409,-0.134766,0.630066,-0.700317,-0.307312
1501624616237412,-0.134521,0.630066,-0.700317,-0.307312
1501624616260473,-0.134521,0.630066,-0.700378,-0.307312
1501624616275473,-0.13446,0.630066,-0.700378,-0.307312
1501624616297453,-0.13446,0.630127,-0.700378,-0.307312
1501624616320486,-0.13446,0.630066,-0.700378,-0.307312
1501624616335496,-0.13446,0.630066,-0.700378,-0.307251
1501624616357496,-0.13446,0.630066,-0.700378,-0.307251
1501624616379512,-0.134644,0.630005,-0.700378,-0.307373
1501624616394543,-0.134827,0.629944,-0.700317,-0.307495
1501624616416359,-0.134888,0.630005,-0.700195,-0.307678
1501624616440473,-0.134949,0.630005,-0.700073,-0.307861
1501624616454500,-0.134949,0.630005,-0.700073,-0.307861
1501624616476562,-0.134888,0.630005,-0.700073,-0.308044
1501624616500541,-0.134766,0.629883,-0.700073,-0.308289
1501624616514532,-0.134583,0.6297,-0.700195,-0.30835
1501624616536603,-0.134399,0.6297,-0.700256,-0.30835
1501624616559702,-0.134338,0.6297,-0.700256,-0.30835
1501624616574713,-0.134338,0.6297,-0.700256,-0.30835
1501624616596810,-0.134399,0.629761,-0.700256,-0.30835
1501624616620772,-0.134338,0.629761,-0.700256,-0.30835
1501624616634797,-0.134338,0.629761,-0.700256,-0.30835
1501624616656811,-0.134338,0.6297,-0.700256,-0.30835
1501624616679813,-0.134338,0.629761,-0.700256,-0.30835
1501624616694824,-0.134399,0.629639,-0.700195,-0.308533
1501624616716891,-0.134521,0.629639,-0.700073,-0.308716
1501624616739911,-0.134705,0.629578,-0.700012,-0.30896
1501624616754898,-0.134888,0.629517,-0.699951,-0.309204
1501624616776894,-0.135071,0.629578,-0.699768,-0.309509
1501624616799954,-0.135315,0.629456,-0.699707,-0.309753
1501624616813920,-0.135559,0.629395,-0.699646,-0.309937
1501624616836980,-0.135742,0.629333,-0.699585,-0.309998
1501624616859997,-0.135742,0.629333,-0.699585,-0.310059
1501624616874007,-0.135803,0.629333,-0.699585,-0.310059
1501624616897022,-0.135803,0.629333,-0.699524,-0.310059
1501624616920039,-0.135803,0.629333,-0.699585,-0.310059
1501624616933993,-0.135803,0.629333,-0.699524,-0.310059
1501624616957146,-0.135803,0.629333,-0.699524,-0.310059
1501624616980163,-0.135803,0.629395,-0.699524,-0.310059
1501624616994118,-0.135803,0.629333,-0.699585,-0.310059
1501624617017189,-0.135803,0.629333,-0.699585,-0.310059
1501624617040206,-0.135803,0.629395,-0.699524,-0.310059
1501624617054177,-0.135742,0.629395,-0.699524,-0.309998
1501624617077252,-0.135803,0.629395,-0.699524,-0.310059
1501624617099267,-0.135803,0.629395,-0.699524,-0.310059
1501624617122244,-0.135803,0.629395,-0.699524,-0.310059
1501624617137299,-0.135803,0.629395,-0.699524,-0.310059
1501624617159313,-0.135803,0.629395,-0.699524,-0.310059
1501624617182331,-0.135803,0.629395,-0.699524,-0.310059
1501624617197322,-0.135803,0.629395,-0.699524,-0.310059
1501624617219300,-0.135803,0.629395,-0.699524,-0.310059
1501624617242330,-0.135742,0.629395,-0.699585,-0.309937
1501624617256339,-0.135681,0.629456,-0.699585,-0.309753
1501624617279363,-0.135498,0.629639,-0.699585,-0.30957
1501624617303362,-0.135498,0.629639,-0.699585,-0.30957
1501624617316405,-0.135498,0.629639,-0.699585,-0.30957
1501624617339387,-0.135498,0.629639,-0.699585,-0.30957
1501624617362405,-0.135498,0.629639,-0.699585,-0.30957
1501624617376424,-0.135498,0.6297,-0.699524,-0.30957
1501624617399484,-0.135498,0.6297,-0.699524,-0.309509
1501624617422499,-0.135437,0.6297,-0.699524,-0.309509
1501624617436459,-0.135498,0.6297,-0.699524,-0.309509
1501624617459526,-0.135498,0.6297,-0.699524,-0.309509
1501624617482486,-0.135437,0.6297,-0.699524,-0.309509
1501624617496518,-0.135437,0.6297,-0.699524,-0.309509
1501624617519570,-0.135437,0.6297,-0.699524,-0.309509
1501624617542585,-0.135437,0.6297,-0.699524,-0.309509
1501624617556573,-0.135437,0.6297,-0.699524,-0.309509
1501624617579570,-0.135437,0.6297,-0.699524,-0.309509
1501624617602623,-0.135498,0.6297,-0.699524,-0.309509
1501624617616633,-0.135437,0.6297,-0.699524,-0.309509
1501624617639654,-0.135437,0.6297,-0.699524,-0.309509
1501624617662634,-0.135437,0.6297,-0.699524,-0.309509
1501624617676679,-0.135437,0.6297,-0.699524,-0.309509
1501624617699695,-0.135437,0.6297,-0.699524,-0.309509
1501624617722736,-0.135437,0.6297,-0.699524,-0.309509
1501624617736759,-0.135681,0.629761,-0.699524,-0.309387
1501624617759819,-0.135681,0.629761,-0.699463,-0.309387
1501624617782835,-0.135681,0.629761,-0.699463,-0.309387
1501624617796844,-0.135681,0.629822,-0.699463,-0.309387
1501624617819854,-0.135681,0.629883,-0.699402,-0.309387
1501624617842875,-0.135681,0.629883,-0.699402,-0.309387
1501624617856886,-0.135681,0.629822,-0.699402,-0.309387
1501624617879937,-0.135681,0.629883,-0.699402,-0.309387
1501624617903002,-0.135681,0.629822,-0.699463,-0.309387
1501624617917059,-0.135681,0.629822,-0.699463,-0.309387
1501624617939199,-0.135681,0.629822,-0.699463,-0.309387
1501624617962159,-0.135681,0.629822,-0.699463,-0.309387
1501624617977228,-0.135681,0.629822,-0.699463,-0.309387
1501624617999242,-0.135681,0.629883,-0.699402,-0.309387
1501624618022255,-0.135681,0.629883,-0.699402,-0.309326
1501624618037225,-0.135681,0.629883,-0.699402,-0.309326
1501624618059281,-0.135681,0.629883,-0.699402,-0.309326
