timestamp,x,y,z
1501623887875170,-0.375,-0.5625,0.375
1501623887898206,-0.625,-0.1875,0.4375
1501623887913212,-0.125,0.25,0.5
1501623887936229,0,0.8125,0.875
1501623887958266,-0.125,1.0625,0.6875
1501623887981261,-0.5,0.6875,0.0625
1501623888026279,0.3125,0.25,-0.125
1501623888035338,0.3125,-0.375,-0.375
1501623888043299,-0.125,-0.875,-0.3125
1501623888059354,0.125,-0.1875,0
1501623888079316,-0.125,0.1875,-0.0625
1501623888103364,-0.1875,0.3125,-0.1875
1501623888146361,0.3125,0.25,0.4375
1501623888146361,0.0625,0.125,0.4375
1501623888160371,-0.3125,0.125,0.125
1501623888176383,-0.25,0.125,0.375
1501623888199436,0.125,0.125,0.875
1501623888220473,-0.375,0.3125,0.8125
1501623888236440,-1.1875,0.125,0.1875
1501623888259497,0.0625,0.25,0
1501623888280505,0.3125,0.125,-0.0625
1501623888296482,-0.0625,-0.3125,-0.5625
1501623888319538,0.25,-0.1875,-0.125
1501623888340618,0.125,-0.1875,-0.25
1501623888356676,0.0625,0,-0.5
1501623888378744,-0.0625,0,-0.375
1501623888399719,0.3125,-0.0625,0
1501623888416718,0.4375,0.1875,0.375
1501623888438786,0,0.3125,0.4375
1501623888459834,-0.625,0.4375,0.1875
1501623888476845,-0.3125,0.25,0
1501623888498942,0.5,0.0625,0.1875
1501623888520009,0.1875,0,-0.1875
1501623888536988,-0.0625,0.375,-0.375
1501623888558985,0.0625,0.5,-0.25
1501623888580055,-0.125,0.5,-0.1875
1501623888597067,-0.25,0.375,-0.5625
1501623888619039,0.25,-0.0625,-0.375
1501623888640098,0.125,-0.1875,-0.1875
1501623888657106,-0.1875,-0.4375,0
1501623888679078,0,-0.375,0.0625
1501623888700140,0.125,0,0.4375
1501623888717148,-0.25,0.1875,0.4375
1501623888739128,0.375,-0.0625,0.625
1501623888761208,0.25,0,0.4375
1501623888776234,-0.25,-0.125,0
1501623888799236,0.0625,0.0625,0.3125
1501623888821299,-0.1875,-0.125,0.25
1501623888836301,-0.125,-0.1875,-0.125
1501623888859279,-0.25,-0.375,-0.1875
1501623888881348,0,-0.1875,-0.3125
1501623888896319,0.0625,-0.0625,0.125
1501623888919321,-0.25,-0.125,-0.0625
1501623888941360,-0.1875,-0.1875,0.125
1501623888956361,-0.3125,-0.25,0.25
1501623888979498,-0.3125,-0.3125,-0.25
1501623889001468,-0.25,-0.25,0.1875
1501623889016479,-0.375,-0.1875,0.1875
1501623889039503,-0.25,-0.1875,0
1501623889061502,-0.3125,-0.25,-0.25
1501623889076511,0,-0.375,-0.1875
1501623889099563,0,-0.375,-0.25
1501623889121557,-0.25,-0.1875,0.125
1501623889144566,-0.5625,-0.125,0.0625
1501623889165630,-0.375,-0.0625,0.125
1501623889181600,-0.0625,-0.25,0.1875
1501623889204661,-0.1875,-0.375,0.0625
1501623889227628,-0.1875,-0.25,0.1875
1501623889241642,-0.6875,0,0
1501623889264699,-0.625,-0.0625,-0.3125
1501623889287697,-0.3125,-0.0625,-0.0625
1501623889301671,0.0625,-0.3125,0
1501623889324711,-0.25,-0.3125,0.0625
1501623889347761,-0.375,-0.1875,0.125
1501623889361761,-0.5,-0.25,0.1875
1501623889383773,-0.25,-0.1875,0.3125
1501623889407779,-0.375,-0.125,0.3125
1501623889421799,-0.125,-0.125,0.1875
1501623889443863,-0.125,-0.25,0.1875
1501623889466939,0.1875,-0.3125,0.125
1501623889481926,-0.125,0.125,0.0625
1501623889503921,-0.1875,0,0.125
1501623889526944,0.125,0.1875,0.1875
1501623889541970,-0.1875,0,0.1875
1501623889563949,-0.1875,0.0625,-0.0625
1501623889587062,-0.25,-0.1875,0.125
1501623889602114,-0.25,-0.25,0.0625
1501623889624156,-0.25,-0.3125,0.0625
1501623889647173,-0.25,-0.3125,0
1501623889661240,-0.1875,-0.25,-0.125
1501623889684198,-0.25,-0.125,-0.0625
1501623889707214,-0.1875,-0.125,-0.25
1501623889728285,-0.3125,-0.125,-0.3125
1501623889744256,-0.125,-0.0625,-0.25
1501623889767345,-0.125,-0.125,0.25
1501623889788410,-0.625,-0.0625,-0.1875
1501623889804365,-0.1875,-0.0625,0.125
1501623889827399,-0.375,0,0
1501623889848434,-0.4375,-0.125,-0.125
1501623889864406,-0.25,-0.125,0.0625
1501623889887469,-0.25,-0.375,0
1501623889908526,-0.3125,-0.375,-0.0625
1501623889924538,-0.25,-0.3125,-0.1875
1501623889947519,-0.4375,-0.375,-0.125
1501623889968549,-0.375,-0.1875,0
1501623889984580,-0.375,-0.3125,-0.0625
1501623890006541,-0.875,-0.3125,-0.3125
1501623890028594,-0.4375,-0.375,-0.1875
1501623890044604,-0.6875,-0.25,-0.25
1501623890066682,-0.375,-0.375,-0.4375
1501623890088739,-0.1875,-0.125,-0.125
1501623890104695,-0.1875,-0.0625,0.0625
1501623890126727,-0.25,0.0625,0.25
1501623890148782,-0.375,0.1875,0.3125
1501623890164738,-0.25,-0.1875,0.0625
1501623890186751,-0.0625,-0.1875,-0.0625
1501623890209767,-0.4375,-0.3125,0.0625
1501623890223791,0,-0.25,-0.125
1501623890246807,-0.0625,-0.25,-0.125
