timestamp,x,y,z
1501623127174151,0.875,0.5,-0.0625
1501623127198169,-0.9375,-0.125,0.125
1501623127213183,0.875,-0.25,-0.25
1501623127234225,0.6875,-0.1875,0.1875
1501623127258243,0.25,-1.375,-0.875
1501623127273253,0.75,-1.75,-1.5625
1501623127294265,1.5625,-1.75,-0.75
1501623127341328,1.25,-0.75,-0.4375
1501623127342302,1.3125,0.25,-0.375
1501623127355279,-0.3125,1.0625,0.125
1501623127378300,-0.875,1.625,0.125
1501623127393349,-0.9375,1.6875,-0.4375
1501623127414379,0.75,2.25,0.3125
1501623127451353,-0.6875,1.6875,-0.1875
1501623127461413,0.625,2.0625,-0.8125
1501623127475395,1,1.9375,-0.0625
1501623127496437,2.125,1.375,-0.3125
1501623127512420,2.25,1,-0.375
1501623127535412,0.1875,0.9375,-0.5
1501623127556590,1.25,1.375,-0.4375
1501623127579605,2.5625,1.75,0.4375
1501623127595589,1.8125,1.25,0.875
1501623127616603,-1.0625,1.25,-0.1875
1501623127632617,-1.1875,0.5625,-0.1875
1501623127655630,0.4375,-0.1875,0
1501623127676723,0.4375,0.25,-0.1875
1501623127693045,0.6875,0.9375,0.1875
1501623127715092,-0.0625,0.9375,0.25
1501623127736213,-0.5625,0.375,-0.4375
1501623127753196,0.5,-0.3125,-0.625
1501623127775223,0.9375,-0.875,-0.4375
1501623127796236,1.25,-0.625,-0.5625
1501623127813239,0.3125,-0.8125,-0.5
1501623127835260,0.1875,-1.0625,-0.75
1501623127856301,0.25,-0.9375,-0.3125
1501623127873286,-0.75,-0.875,-0.3125
1501623127895325,0.5625,-0.4375,-0.0625
1501623127916371,0.625,-0.3125,0.25
1501623127932382,0.8125,0.3125,0
1501623127955369,0.8125,0.5625,0.75
1501623127976414,0.25,0.1875,0.1875
1501623127992483,0.4375,0.25,0.0625
1501623128015596,-0.375,-0.375,-0.1875
1501623128036611,-0.5625,-1.375,-1
1501623128052743,1.0625,-0.75,-0.25
1501623128075751,0.5,-0.4375,0.25
1501623128097796,-0.625,-0.9375,-0.75
1501623128112805,0.375,-0.1875,-0.1875
1501623128134905,0.9375,0.3125,0.5625
1501623128157922,-0.4375,0,-0.25
1501623128172932,0.125,0,-0.125
1501623128194976,0.6875,0.4375,0.4375
1501623128217964,-0.25,-0.125,-0.25
1501623128239037,0.0625,-0.3125,-0.125
1501623128255991,-0.1875,-0.625,0.25
1501623128278038,0.75,-0.4375,0
1501623128299079,0.3125,-0.3125,0.375
1501623128315063,-0.1875,-0.3125,0.1875
1501623128338077,0.8125,0.0625,0.125
1501623128359124,0.375,0.5625,0.4375
1501623128375106,0,0.75,0.5625
