timestamp,roll,pitch,yaw
1501625579993016,-1.23678,-0.399332,-2.90726
1501625580008027,-1.23678,-0.399332,-2.90726
1501625580032067,-1.23695,-0.398842,-2.90722
1501625580053052,-1.23733,-0.398139,-2.90687
1501625580076075,-1.23724,-0.397415,-2.90651
1501625580092079,-1.2375,-0.396204,-2.90611
1501625580113095,-1.23773,-0.394671,-2.90548
1501625580137168,-1.23794,-0.392988,-2.90486
1501625580168137,-1.23804,-0.391093,-2.90439
1501625580175143,-1.23838,-0.389822,-2.90412
1501625580197182,-1.23856,-0.388723,-2.90411
1501625580212192,-1.23861,-0.388023,-2.9049
1501625580234236,-1.2383,-0.387171,-2.90637
1501625580257203,-1.23744,-0.386163,-2.90853
1501625580286274,-1.23662,-0.385184,-2.91073
1501625580295260,-1.23631,-0.384625,-2.91239
1501625580316298,-1.23587,-0.384264,-2.91368
1501625580330308,-1.2352,-0.383818,-2.91462
1501625580353304,-1.23484,-0.383591,-2.9152
1501625580376287,-1.23485,-0.383519,-2.9151
1501625580390294,-1.23485,-0.383519,-2.9151
1501625580413365,-1.2348,-0.383413,-2.91517
1501625580436384,-1.2348,-0.383413,-2.91517
1501625580450394,-1.2348,-0.383413,-2.91517
1501625580473488,-1.23442,-0.383158,-2.9157
1501625580496532,-1.23398,-0.382676,-2.91705
1501625580510526,-1.23329,-0.381955,-2.91895
1501625580533562,-1.23273,-0.381058,-2.92081
1501625580556551,-1.23249,-0.380432,-2.92214
1501625580570589,-1.23233,-0.379869,-2.92334
1501625580593553,-1.23226,-0.379197,-2.92417
1501625580616594,-1.23191,-0.378969,-2.92475
1501625580630576,-1.23192,-0.378897,-2.92465
1501625580652646,-1.23195,-0.379148,-2.92478
1501625580676632,-1.23207,-0.379338,-2.92437
1501625580690614,-1.23255,-0.379806,-2.9237
1501625580712689,-1.23295,-0.380212,-2.92315
1501625580736679,-1.23342,-0.380336,-2.92264
1501625580750717,-1.23339,-0.380308,-2.92259
1501625580772676,-1.23356,-0.38031,-2.9226
1501625580795747,-1.2333,-0.380023,-2.92331
1501625580810727,-1.23276,-0.379399,-2.92422
1501625580832772,-1.23267,-0.379115,-2.92493
1501625580855790,-1.23211,-0.378634,-2.92538
1501625580870799,-1.23228,-0.378637,-2.92538
1501625580892898,-1.23223,-0.378531,-2.92545
1501625580915920,-1.23223,-0.378531,-2.92545
1501625580931910,-1.23223,-0.378531,-2.92545
1501625580953087,-1.23235,-0.378428,-2.92485
1501625580976045,-1.23275,-0.378761,-2.92419
1501625580992054,-1.23318,-0.379123,-2.92359
1501625581013074,-1.23315,-0.379095,-2.92354
1501625581036090,-1.23315,-0.379095,-2.92354
1501625581052103,-1.23315,-0.379095,-2.92354
1501625581081177,-1.23327,-0.378991,-2.92361
1501625581096127,-1.23333,-0.379148,-2.92406
1501625581112168,-1.23333,-0.379148,-2.92406
1501625581133194,-1.23318,-0.379001,-2.92452
1501625581156229,-1.23284,-0.378702,-2.925
1501625581172210,-1.23264,-0.378377,-2.92543
1501625581193200,-1.23225,-0.377971,-2.92598
1501625581216241,-1.23238,-0.377552,-2.92627
1501625581238384,-1.23182,-0.377143,-2.92681
1501625581253425,-1.2318,-0.376821,-2.92725
1501625581275423,-1.23162,-0.376719,-2.92777
1501625581298450,-1.23146,-0.376644,-2.92834
1501625581313459,-1.23093,-0.376484,-2.92902
1501625581335523,-1.23094,-0.376241,-2.92934
1501625581358482,-1.23094,-0.376241,-2.92934
1501625581372652,-1.23091,-0.376162,-2.92946
1501625581395640,-1.23091,-0.376162,-2.92946
1501625581417686,-1.23091,-0.376162,-2.92946
1501625581432697,-1.23091,-0.376162,-2.92946
1501625581455713,-1.23091,-0.376162,-2.92946
1501625581477840,-1.23091,-0.376162,-2.92946
1501625581492798,-1.23091,-0.376162,-2.92946
1501625581515815,-1.23091,-0.376162,-2.92946
1501625581537822,-1.23092,-0.37609,-2.92936
1501625581552836,-1.23092,-0.37609,-2.92936
1501625581575878,-1.2307,-0.375981,-2.92942
1501625581597872,-1.2307,-0.375981,-2.92942
1501625581613905,-1.2307,-0.375981,-2.92942
1501625581635921,-1.2307,-0.375981,-2.92942
1501625581657936,-1.2307,-0.375981,-2.92942
1501625581672918,-1.23082,-0.375878,-2.9295
1501625581695963,-1.23082,-0.375878,-2.9295
1501625581717979,-1.23082,-0.375878,-2.9295
1501625581732968,-1.23065,-0.375875,-2.92949
1501625581755977,-1.23067,-0.375903,-2.92954
1501625581777999,-1.23082,-0.375878,-2.9295
1501625581793004,-1.23068,-0.375831,-2.92944
1501625581815024,-1.23068,-0.375831,-2.92944
1501625581838064,-1.23085,-0.375834,-2.92944
1501625581853075,-1.23083,-0.375806,-2.92939
1501625581875077,-1.23085,-0.375834,-2.92944
1501625581898115,-1.23068,-0.375831,-2.92944
1501625581914120,-1.23063,-0.375725,-2.92951
1501625581935144,-1.23063,-0.375725,-2.92951
1501625581958150,-1.23063,-0.375725,-2.92951
1501625581974131,-1.23063,-0.375725,-2.92951
1501625581995151,-1.23063,-0.375725,-2.92951
1501625582018166,-1.23063,-0.375725,-2.92951
1501625582034202,-1.23063,-0.375725,-2.92951
1501625582055230,-1.23063,-0.375725,-2.92951
1501625582078265,-1.23065,-0.375753,-2.92955
1501625582094248,-1.23048,-0.37575,-2.92955
1501625582115235,-1.2306,-0.375647,-2.92963
1501625582138306,-1.23043,-0.375644,-2.92962
1501625582154289,-1.23061,-0.375575,-2.92952
1501625582175274,-1.23044,-0.375572,-2.92952
1501625582198291,-1.23029,-0.375891,-2.92976
1501625582214301,-1.23029,-0.375891,-2.92976
1501625582235345,-1.23032,-0.375918,-2.9298
1501625582258360,-1.23032,-0.375918,-2.9298
1501625582274344,-1.23032,-0.375918,-2.9298
1501625582295388,-1.23032,-0.375918,-2.9298
1501625582318404,-1.23029,-0.375891,-2.92976
1501625582334416,-1.23032,-0.375918,-2.9298
1501625582355401,-1.23032,-0.375918,-2.9298
1501625582378449,-1.23026,-0.375812,-2.92987
1501625582400462,-1.23026,-0.375812,-2.92987
1501625582415442,-1.23026,-0.375812,-2.92987
1501625582437487,-1.23009,-0.375809,-2.92987
1501625582460505,-1.23009,-0.375809,-2.92987
1501625582475562,-1.23009,-0.375809,-2.92987
1501625582497530,-1.23009,-0.375809,-2.92987
