timestamp,x,y,z,w
1501625767433938,-0.292725,0.489075,-0.821472,-0.0202637
1501625767456954,-0.292542,0.488953,-0.821533,-0.0203247
1501625767472965,-0.292358,0.488892,-0.821655,-0.0203857
1501625767494008,-0.292297,0.489014,-0.821594,-0.0205078
1501625767518025,-0.292236,0.489014,-0.821594,-0.0205078
1501625767533052,-0.292236,0.489014,-0.821594,-0.0205078
1501625767554079,-0.292297,0.489014,-0.821594,-0.0205078
1501625767602167,-0.292297,0.489014,-0.821594,-0.0205078
1501625767602167,-0.292297,0.489075,-0.821594,-0.0205078
1501625767615180,-0.292297,0.489075,-0.821594,-0.0205078
1501625767638248,-0.292297,0.489075,-0.821594,-0.0205078
1501625767653207,-0.292297,0.489075,-0.821594,-0.0205078
1501625767675246,-0.292297,0.489014,-0.821594,-0.0205078
1501625767711300,-0.292297,0.489014,-0.821594,-0.0205078
1501625767721279,-0.292297,0.489014,-0.821594,-0.0205078
1501625767735266,-0.29248,0.488892,-0.821594,-0.0205688
1501625767756276,-0.292542,0.488892,-0.821594,-0.0205688
1501625767772291,-0.292542,0.488892,-0.821594,-0.0205688
1501625767795332,-0.292542,0.488892,-0.821594,-0.0205688
1501625767816378,-0.292542,0.488953,-0.821594,-0.0206299
1501625767832474,-0.292542,0.488953,-0.821533,-0.0206299
1501625767855460,-0.292603,0.488953,-0.821533,-0.0206299
1501625767876624,-0.292603,0.488953,-0.821533,-0.0206299
1501625767892608,-0.292603,0.488953,-0.821533,-0.0206299
1501625767915597,-0.292603,0.488953,-0.821533,-0.0206299
1501625767936640,-0.292603,0.488892,-0.821533,-0.0206299
1501625767952653,-0.292603,0.488953,-0.821533,-0.0206299
1501625767975639,-0.292664,0.488953,-0.821533,-0.0206299
1501625767996688,-0.292664,0.488892,-0.821533,-0.0206299
1501625768012695,-0.292664,0.488892,-0.821533,-0.0206909
1501625768035681,-0.292664,0.488892,-0.821533,-0.0206909
1501625768056724,-0.292664,0.488892,-0.821533,-0.0206909
1501625768072714,-0.292664,0.488892,-0.821533,-0.0206909
1501625768095725,-0.292664,0.488892,-0.821533,-0.0206909
1501625768116775,-0.292664,0.488892,-0.821533,-0.0206909
1501625768132780,-0.292664,0.488892,-0.821533,-0.0206909
1501625768154897,-0.292725,0.488892,-0.821533,-0.0206909
1501625768176885,-0.292725,0.488892,-0.821533,-0.0206909
1501625768192897,-0.292725,0.488892,-0.821533,-0.0206909
1501625768214915,-0.292725,0.488892,-0.821533,-0.0206909
1501625768236904,-0.292725,0.488892,-0.821533,-0.0206909
1501625768252943,-0.292725,0.488892,-0.821533,-0.0206909
1501625768274926,-0.292725,0.488892,-0.821533,-0.0206909
1501625768296947,-0.292725,0.488831,-0.821533,-0.020752
1501625768312981,-0.292725,0.488831,-0.821533,-0.020752
1501625768334968,-0.292725,0.488831,-0.821533,-0.020752
1501625768357984,-0.292603,0.488953,-0.821533,-0.0206299
1501625768372999,-0.29248,0.489014,-0.821533,-0.0205078
1501625768395038,-0.29248,0.489014,-0.821533,-0.0205078
1501625768418056,-0.29248,0.489014,-0.821533,-0.0205078
1501625768433067,-0.29248,0.489014,-0.821533,-0.0204468
1501625768455059,-0.29248,0.489014,-0.821533,-0.0204468
1501625768478099,-0.29248,0.489075,-0.821533,-0.0204468
1501625768493109,-0.29248,0.489075,-0.821533,-0.0204468
1501625768515124,-0.29248,0.489258,-0.821411,-0.0205688
1501625768538140,-0.29248,0.489258,-0.821411,-0.0205688
1501625768553151,-0.29248,0.489258,-0.821411,-0.0205688
1501625768575143,-0.29248,0.489258,-0.821411,-0.0205688
1501625768598155,-0.29248,0.489258,-0.821411,-0.0205688
1501625768619229,-0.29248,0.489258,-0.821411,-0.0205688
1501625768635284,-0.29248,0.489258,-0.821411,-0.0205688
1501625768658291,-0.29248,0.489258,-0.821411,-0.0205688
1501625768679419,-0.29248,0.489258,-0.821411,-0.0205688
1501625768695430,-0.29248,0.489258,-0.821411,-0.0205688
1501625768717447,-0.29248,0.489258,-0.821411,-0.0205688
1501625768738462,-0.29248,0.489319,-0.821411,-0.0205078
1501625768755443,-0.29248,0.489319,-0.821411,-0.0205078
1501625768777552,-0.29248,0.489319,-0.82135,-0.0205078
1501625768798613,-0.29248,0.489319,-0.821411,-0.0205078
1501625768815606,-0.29248,0.489319,-0.821411,-0.0205078
1501625768837625,-0.29248,0.489319,-0.821411,-0.0205078
1501625768858655,-0.29248,0.489319,-0.82135,-0.0205078
1501625768875624,-0.29248,0.489319,-0.82135,-0.0205078
1501625768897666,-0.292358,0.489319,-0.821411,-0.0202637
1501625768918683,-0.292236,0.48938,-0.821411,-0.0200195
1501625768935692,-0.291992,0.489624,-0.82135,-0.0197754
1501625768957684,-0.291748,0.489746,-0.821411,-0.0194702
1501625768978721,-0.291565,0.489868,-0.821411,-0.0192261
1501625768995712,-0.291443,0.48999,-0.82135,-0.019043
1501625769017720,-0.291443,0.490051,-0.82135,-0.019043
1501625769038763,-0.291443,0.490051,-0.82135,-0.019043
1501625769055748,-0.291382,0.490051,-0.82135,-0.019043
1501625769077770,-0.291443,0.490112,-0.82135,-0.019043
