timestamp,x,y,z
1501624338926350,1.125,-4.125,4.1875
1501624338948423,2.25,-4.6875,5
1501624338972423,3.375,-5,5.1875
1501624338987433,2.3125,-3.0625,3.4375
1501624339008408,0.3125,-1.875,2.375
1501624339032571,1.6875,-0.125,1.9375
1501624339086609,1.5625,0.6875,1.625
1501624339087553,3.0625,0.6875,2.5
1501624339095559,1.5,0.5625,2.125
1501624339108582,-0.1875,0.5625,1.125
1501624339129601,-0.0625,0,0.8125
1501624339153613,0.4375,1.25,0.3125
1501624339196685,0.625,1.1875,0.0625
1501624339197649,0.875,0.75,0
1501624339210664,0.25,0.5625,-0.75
1501624339227691,0.1875,0.4375,-1.3125
1501624339249788,0.5,0.5,-0.9375
1501624339270799,-0.0625,0.25,-0.8125
1501624339287836,-1.0625,0.4375,-1.125
1501624339309814,0.375,0.0625,-0.0625
1501624339330842,0.1875,-0.125,0.3125
1501624339347877,-0.3125,-0.125,-0.125
1501624339369859,0,-0.125,-0.0625
1501624339390930,0.4375,0.1875,-0.3125
1501624339408025,0.5,-0.3125,-0.1875
1501624339429984,0.0625,-0.25,-0.8125
1501624339451055,-0.5,0,-1.375
1501624339468060,0.0625,0.125,-1.5625
1501624339490025,0.4375,-0.25,-1.6875
1501624339511056,-0.25,0,-1.3125
1501624339528052,0,0.25,-1.125
1501624339550068,0.25,0.1875,-0.8125
1501624339571135,0,0.1875,-0.5
1501624339588096,0.0625,-0.125,0
1501624339610110,0.375,0.0625,-0.1875
1501624339631181,-0.1875,0.25,-0.0625
1501624339648139,0.125,-0.1875,-0.1875
1501624339670239,0.6875,-0.1875,-0.0625
1501624339691258,0,-0.1875,-0.375
1501624339707263,0.0625,-0.5625,-0.5625
1501624339730290,0.375,-0.25,-0.4375
1501624339751350,0.5625,-0.4375,-0.5
1501624339767318,-0.3125,0,-0.9375
1501624339790323,-0.3125,0.0625,-0.875
1501624339812354,-0.25,0.3125,-0.9375
1501624339827364,-0.125,0.125,-0.8125
1501624339850424,0.4375,0.1875,-0.375
1501624339872382,0.25,0.1875,-0.5625
1501624339887399,0.3125,0.1875,-0.9375
1501624339910469,-0.3125,0.1875,-1.125
1501624339932425,0.125,-0.375,-0.75
1501624339954453,0.5625,-0.125,-0.625
1501624339970464,-0.25,-0.0625,-0.875
1501624339992466,-0.3125,-0.125,-1.1875
1501624340014495,-0.0625,0.375,-0.8125
1501624340030510,0.5,-0.0625,-0.5
1501624340052510,0.0625,0.25,-0.6875
1501624340074540,0.125,0.125,-0.375
1501624340090537,0.125,0.25,-0.125
1501624340112563,-0.3125,0.3125,-0.3125
1501624340133577,0.3125,0.1875,0
1501624340150585,0.1875,0.0625,0.125
1501624340172595,-0.625,0.4375,-0.4375
1501624340194627,-0.3125,0.1875,-0.375
1501624340216626,-0.25,0.0625,-0.5625
1501624340232653,-0.0625,0.0625,-0.8125
1501624340254668,-0.1875,0.125,-0.8125
1501624340278671,0,0.0625,-0.5
1501624340292694,-0.3125,0.4375,-0.5
1501624340314696,0.1875,0.4375,-0.0625
1501624340338728,0.625,0.0625,0.125
1501624340352724,-0.3125,0.25,0
1501624340374759,-0.25,0.5,-0.4375
1501624340397777,0,0.25,-0.3125
1501624340412814,0.4375,0.25,-0.375
1501624340434829,-0.375,0.25,-0.625
1501624340457846,-0.75,0.1875,-0.9375
1501624340472857,0.1875,0.0625,-0.75
1501624340494872,-0.1875,-0.0625,-0.8125
1501624340517898,0.0625,-0.0625,-0.625
1501624340532915,0.0625,0.0625,-0.375
1501624340554917,-0.1875,0.375,-0.3125
1501624340577953,-0.0625,0.1875,-0.25
1501624340592999,0.3125,0.1875,-0.1875
1501624340614959,-0.1875,-0.1875,-0.0625
1501624340637975,-0.1875,0.1875,-0.4375
1501624340653041,-0.0625,-0.1875,-0.75
1501624340675002,0.125,-0.3125,-0.5
1501624340698018,-0.0625,-0.125,-0.75
1501624340713082,-0.3125,0.4375,-1.25
1501624340735141,0,0.1875,-1.3125
1501624340758143,-0.3125,0.4375,-1.5
1501624340772153,-0.3125,0.4375,-1.4375
1501624340795184,0.125,0.5,-1.0625
1501624340818401,-0.0625,0.25,-1
1501624340839076,-0.375,0.375,-0.75
1501624340855088,-0.375,-0.1875,-0.6875
1501624340884143,-0.375,0.0625,-0.6875
1501624340899156,-0.0625,-0.5,-0.375
1501624340915130,-0.1875,0,-0.375
1501624340938149,-0.625,-0.125,-0.6875
1501624340959608,-0.375,0.625,-0.75
1501624340975103,0.125,0.625,-0.5
1501624340998807,0.4375,0.6875,-0.375
1501624341019816,0.25,0.5625,-0.5625
1501624341034809,-0.5,0.25,-0.875
1501624341057844,0.1875,0.1875,-0.6875
1501624341086884,0.3125,-0.125,-0.25
1501624341094850,0.125,-0.125,-0.4375
1501624341117887,-0.8125,0.4375,-0.5625
1501624341141064,0.25,0.25,-0.25
1501624341155613,0.5625,0.125,0
1501624341177611,0.0625,0.25,-0.0625
1501624341199640,-0.75,0.375,-0.375
1501624341214637,-0.0625,0.8125,-0.125
