timestamp,x,y,z,w
1501622972582940,0.13147,0.47113,-0.458923,-0.74176
1501622972607957,0.131531,0.471191,-0.458557,-0.741943
1501622972628014,0.131531,0.471252,-0.458313,-0.742065
1501622972642990,0.13147,0.471313,-0.458069,-0.742188
1501622972667001,0.13147,0.471558,-0.457764,-0.742188
1501622972688057,0.13147,0.471558,-0.457764,-0.742188
1501622972727030,0.13147,0.471558,-0.457764,-0.742188
1501622972729045,0.13147,0.471558,-0.457764,-0.742188
1501622972749061,0.13147,0.471558,-0.457764,-0.742188
1501622972763112,0.131531,0.471558,-0.457764,-0.742188
1501622972787112,0.131531,0.471558,-0.457581,-0.74231
1501622972809169,0.131409,0.471558,-0.457336,-0.742493
1501622972845252,0.131226,0.471375,-0.457214,-0.742676
1501622972855219,0.130981,0.471313,-0.457092,-0.742798
1501622972868269,0.130859,0.471375,-0.456909,-0.74292
1501622972883279,0.130676,0.471252,-0.456848,-0.743042
1501622972906238,0.130676,0.471252,-0.456848,-0.743042
1501622972928309,0.130676,0.471313,-0.456848,-0.743042
1501622972943316,0.130676,0.471313,-0.456848,-0.743042
1501622972966297,0.130676,0.471313,-0.456848,-0.743042
1501622972988353,0.130676,0.471313,-0.456848,-0.743042
1501622973003363,0.130676,0.471313,-0.456848,-0.743042
1501622973026340,0.130676,0.471313,-0.456848,-0.743042
1501622973048555,0.130676,0.471313,-0.456848,-0.743042
1501622973063559,0.130615,0.471252,-0.456665,-0.743225
1501622973085571,0.130554,0.47113,-0.456543,-0.743347
1501622973108587,0.130554,0.47113,-0.456543,-0.743347
1501622973123559,0.130554,0.47113,-0.456543,-0.743408
1501622973145666,0.130554,0.47113,-0.456543,-0.743408
1501622973168764,0.130554,0.47113,-0.456482,-0.743347
1501622973183778,0.130554,0.47113,-0.456482,-0.743408
1501622973205737,0.130554,0.47113,-0.456482,-0.743408
1501622973227888,0.130493,0.47113,-0.456482,-0.743408
1501622973243859,0.130493,0.47113,-0.456482,-0.743408
1501622973265914,0.130493,0.47113,-0.456482,-0.743408
1501622973287934,0.130493,0.471069,-0.45636,-0.74353
1501622973302941,0.130554,0.470886,-0.456299,-0.743652
1501622973325914,0.130554,0.470886,-0.456238,-0.743713
1501622973347945,0.130554,0.470825,-0.456116,-0.743835
1501622973363037,0.130493,0.470825,-0.456116,-0.743835
1501622973386056,0.130554,0.470825,-0.456116,-0.743835
1501622973408066,0.130493,0.470642,-0.456055,-0.744019
1501622973423026,0.130432,0.470642,-0.456055,-0.744019
1501622973446097,0.130432,0.470642,-0.456055,-0.744019
1501622973468110,0.130432,0.470642,-0.456055,-0.744019
1501622973483123,0.130432,0.470642,-0.455994,-0.744019
1501622973506083,0.130432,0.470642,-0.456055,-0.744019
1501622973528153,0.130432,0.470642,-0.455994,-0.744019
1501622973543164,0.130371,0.470581,-0.455994,-0.74408
1501622973566139,0.130371,0.470642,-0.455994,-0.74408
1501622973588195,0.130371,0.470642,-0.455994,-0.74408
