timestamp,x,y,z
1501624188654697,-4.0625,-0.1875,2.375
1501624188676722,-1.875,-0.3125,1.6875
1501624188691820,-1.5625,-0.1875,1
1501624188716834,0.0625,0.875,0.9375
1501624188731845,-1.625,1.5,1.25
1501624188751915,-3,0.9375,0.1875
1501624188775931,-1.875,-0.0625,-0.8125
1501624188814906,0.8125,-0.8125,-1
1501624188815904,0.8125,-0.4375,-1
1501624188835934,-0.625,0.5625,-0.875
1501624188852946,-0.75,0.5625,-1.0625
1501624188871998,0.3125,1.375,-1
1501624188896025,-1,2.4375,-0.25
1501624188925084,-0.4375,3.5,0.125
1501624188935037,0.25,4.9375,0.75
1501624188955070,-1.5625,5.3125,0.75
1501624188977120,-1.9375,4.8125,-0.25
1501624188992135,-1.5,4.1875,-0.5
1501624189015148,-1.1875,3.125,-0.375
1501624189037249,-1.625,2.625,-0.75
1501624189052260,-0.5625,1.875,-0.6875
1501624189075277,-0.375,0.5625,-0.625
1501624189097248,-0.6875,-1.0625,-1.0625
1501624189112300,1.0625,-2.0625,-1
1501624189135318,1.25,-2.5625,-0.75
1501624189157856,0.6875,-2.3125,-0.5
1501624189171397,0.25,-1.8125,-0.75
1501624189194456,0.75,-1.75,-0.625
1501624189217550,0.5625,-1.125,-0.9375
1501624189232566,0.4375,0.1875,-0.625
1501624189254580,0.3125,1.5625,-0.0625
1501624189277596,0.3125,2.375,0.125
1501624189292607,-0.0625,2.6875,0.4375
1501624189314566,0.1875,2.875,0.4375
1501624189337638,0.375,2.625,0.4375
1501624189351648,0.5625,1.9375,0.25
1501624189374664,0.25,1.125,0.1875
1501624189397622,-0.4375,-0.375,-0.4375
1501624189411690,0.375,-1.3125,-0.75
1501624189434704,0.3125,-2,-0.8125
1501624189457724,0.8125,-1.8125,-0.75
1501624189471733,0.1875,-1.625,-0.5
1501624189494805,0.125,-1.0625,-0.5625
1501624189517822,0,-0.8125,-0.625
1501624189531830,-0.25,-0.5625,-0.25
1501624189554929,-0.1875,0.0625,0.1875
1501624189576943,0.25,0.3125,0.125
1501624189591954,0.375,0.75,0.4375
1501624189615056,-0.5,0.8125,0.1875
1501624189637073,-0.5,0.3125,-0.25
1501624189652084,0.25,0.0625,-0.125
1501624189675100,-0.1875,-0.375,-0.0625
1501624189697058,0.5625,-0.25,0
1501624189712128,-0.0625,0,0
1501624189735139,0.0625,0.125,0.25
1501624189757155,0,0,0
1501624189772172,0,-0.1875,0
1501624189795222,0.1875,-0.25,0.0625
1501624189817281,0.125,-0.3125,0.25
1501624189831273,0.0625,-0.4375,0.5625
1501624189855255,0.5,-0.625,0.375
1501624189877324,0.375,-1.125,0.125
1501624189891333,0.3125,-1.0625,0.125
1501624189914308,0.5625,-1.0625,-0.125
1501624189936368,-0.1875,-1,-0.125
1501624189951377,-0.1875,-0.5625,-0.125
1501624189974395,0.125,-0.0625,0
1501624189996409,0,-0.125,0
1501624190011471,-0.0625,-0.0625,0.0625
1501624190034488,0.0625,-0.1875,0.0625
1501624190056504,0.3125,0,0.125
1501624190079577,-0.125,0.125,0.3125
1501624190094587,0,0.0625,0.3125
1501624190116606,0.1875,0.0625,0.3125
1501624190139620,0.0625,0,0.5
1501624190154630,-0.125,0.1875,0.5
1501624190176602,0.5,0,0.6875
1501624190199605,-0.0625,-0.125,0.375
1501624190214616,0.5,0.0625,0.375
1501624190236688,0.0625,0.1875,0.3125
1501624190259704,0.0625,0.0625,0.0625
1501624190274713,0.625,0.375,0.3125
1501624190296757,-0.1875,0.5,0.25
1501624190319828,-0.1875,0.4375,0.0625
1501624190334801,0.125,0.1875,-0.25
1501624190356858,0.8125,0.0625,-0.1875
1501624190379818,0.25,0.1875,-0.375
1501624190393884,0,0.1875,-0.3125
1501624190416899,0.125,0.4375,0
1501624190439915,0.0625,0.3125,0.1875
1501624190454008,0.4375,0.375,0.375
1501624190477025,0.3125,0.4375,0.75
1501624190500040,0,0.4375,1
1501624190514075,0,0.375,1.1875
1501624190537158,0.375,0.4375,1.25
1501624190560165,0.0625,0.4375,0.9375
1501624190574177,-0.0625,0.4375,0.5625
1501624190597150,-0.4375,0.4375,0.4375
1501624190620210,0.5625,0.4375,0.25
1501624190634220,-0.1875,0.375,-0.0625
1501624190657214,-0.75,0.3125,-0.5
1501624190680210,0.3125,0.25,-0.625
1501624190694261,0.6875,0,-0.625
1501624190717243,0.375,-0.3125,-0.6875
1501624190740294,0.25,-0.375,-0.9375
1501624190754304,-0.3125,-0.375,-0.8125
1501624190777277,0.0625,-0.375,-0.625
1501624190799334,-0.25,-0.25,-0.5
1501624190814287,0.3125,-0.1875,-0.0625
1501624190836360,0.4375,0.25,0.125
1501624190859379,-0.25,0.25,0.25
1501624190874389,0.0625,0.25,0.5625
1501624190896347,0.4375,-0.0625,0.4375
1501624190919420,-0.125,-0.5625,0.375
1501624190934430,0.25,-0.625,0.3125
1501624190956447,0.25,-0.5625,0.25
1501624190979421,0.0625,-0.5625,0.1875
1501624190994473,-0.3125,-0.6875,-0.0625
1501624191016490,-0.25,-0.625,-0.5625
1501624191039559,0.0625,-0.375,-0.3125
1501624191054656,-0.125,0.0625,-0.125
1501624191076670,-0.875,0.0625,-0.1875
1501624191099730,-0.625,0,-0.3125
1501624191114763,0,0.0625,0.25
1501624191136921,-0.3125,-0.1875,0.5
1501624191158939,-0.3125,-0.75,0.5625
1501624191173891,0.0625,-0.875,0.4375
1501624191196918,-0.1875,-0.6875,0.4375
1501624191218921,-0.25,-0.5,0.4375
1501624191233931,0,-0.5,0.25
