timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625108277564,16,28,-5,2,1,10,-17,4
1501625108277564,-5,16,-7,5,31,44,11,1
1501625108278595,-3,-12,1,-5,-20,-11,13,-8
1501625108278595,0,-19,6,4,29,-24,-15,0
1501625108278595,-3,4,1,4,8,14,14,5
1501625108278595,-2,22,2,-1,-31,-7,21,2
1501625108281608,3,3,4,2,10,7,-11,0
1501625108281608,-1,-19,-2,-4,5,-11,-22,0
1501625108289613,11,3,-3,0,9,8,3,-2
1501625108289613,-8,10,-9,-9,-26,2,-5,-6
1501625108297617,-12,-13,-3,-5,-6,16,9,-3
1501625108297617,-8,-35,2,2,12,-21,-6,-7
1501625108303622,6,14,-1,1,-7,-3,28,2
1501625108303622,-4,7,-6,-4,-4,25,-12,-1
1501625108318579,7,2,1,-5,-12,-18,0,2
1501625108318579,-9,-17,-4,-4,-11,-25,-31,-9
1501625108327640,-11,-9,-9,-5,-23,-1,9,1
1501625108327640,-5,0,-5,3,6,1,-10,1
1501625108335605,4,5,6,4,29,-6,-6,7
1501625108335605,9,2,4,2,-4,-9,5,2
1501625108349620,-8,-4,-9,-6,-14,-4,3,-2
1501625108349620,-8,-3,-4,-2,-12,-8,-8,-7
1501625108357620,3,-5,1,0,-4,-8,-20,3
1501625108357620,16,8,5,1,4,9,-1,4
1501625108397650,1,18,-10,-3,-7,13,7,2
1501625108397650,-12,3,-5,0,-9,5,12,-4
1501625108397650,4,-3,3,0,10,6,16,4
1501625108397650,-2,-21,3,3,2,-19,-27,-2
1501625108398655,9,21,-4,-7,-24,9,-12,-1
1501625108398655,-7,15,-7,-2,-1,-10,-9,0
1501625108400692,-6,-14,2,-1,21,17,0,-9
1501625108400692,-3,-30,5,1,-2,-15,5,-1
1501625108409699,2,16,-2,-2,-10,-9,-18,-2
1501625108409699,-2,13,-2,3,0,14,8,3
1501625108416664,2,-2,0,-5,-3,-10,3,1
1501625108416664,-3,-12,0,-5,-4,1,1,-4
1501625108423710,-11,-17,-6,5,16,-3,2,-5
1501625108423710,1,5,-5,0,-15,11,30,8
1501625108438722,5,16,14,4,9,10,15,-4
1501625108438722,1,-5,-1,5,42,19,-11,-8
1501625108446685,0,1,-5,-2,-12,0,31,2
1501625108446685,-1,12,-4,-1,-13,3,-16,0
1501625108454732,-10,-18,-5,-3,-10,-3,-6,2
1501625108454732,-1,-9,-1,-2,10,7,22,-1
1501625108469742,-1,10,0,1,19,0,10,1
1501625108469742,2,5,-1,-1,7,6,-39,-1
1501625108476705,1,-4,2,0,-16,-20,9,2
1501625108476705,-1,-6,-5,-12,-30,-39,-26,0
1501625108483837,-7,-3,-1,4,28,17,-34,-8
1501625108483837,0,-9,1,2,-8,-6,23,3
1501625108498849,2,9,-1,-6,6,1,-30,-7
1501625108498849,2,1,3,3,-10,-21,-1,2
1501625108505853,-1,-6,-5,-4,-14,-7,-3,-1
1501625108505853,-11,-3,-5,-4,-12,2,17,-5
1501625108514838,2,-6,-2,-1,-4,-1,-8,1
1501625108514838,11,13,11,6,34,13,-4,3
1501625108529829,-3,5,-1,-1,-15,-7,-7,3
1501625108529829,-4,-4,-1,1,7,-3,4,-5
1501625108535816,-6,-8,-2,-3,-14,5,-7,-1
1501625108535816,-6,-5,1,1,5,2,21,3
1501625108543880,7,0,2,1,-13,-13,2,-2
1501625108543880,7,18,0,-3,2,1,-5,-1
1501625108558891,-2,-5,2,2,6,-7,-30,-3
1501625108558891,5,3,-3,-1,-13,-6,6,-2
1501625108565896,-8,-3,-3,1,18,18,6,4
1501625108565896,1,2,-1,-3,-3,8,-10,0
1501625108580909,1,0,2,2,5,-3,14,1
1501625108580909,-3,-8,-2,-4,-16,-7,-8,0
1501625108589872,-4,-11,-1,3,0,-4,10,0
1501625108589872,2,7,-1,-5,8,19,14,-3
1501625108595921,0,1,-1,-2,-10,-7,0,4
1501625108595921,9,6,1,-4,-12,-14,-30,0
1501625108603926,-1,1,-1,3,10,17,17,-4
1501625108603926,-6,-6,-1,0,-4,-5,-9,-7
1501625108618888,1,0,0,0,-1,-3,-1,9
1501625108618888,-13,-15,-10,-8,-28,-6,8,-2
1501625108625938,8,19,4,1,10,-4,-26,4
1501625108625938,-1,-2,-2,-2,11,8,-4,-2
1501625108640946,-5,-11,-5,1,16,12,37,-2
1501625108640946,4,0,1,3,-1,15,-10,3
1501625108648951,-7,-5,-3,-3,-11,3,30,-5
1501625108648951,3,7,2,-3,-20,-21,-10,3
1501625108655957,6,6,6,10,16,-5,-10,-5
1501625108655957,-8,-1,2,4,28,17,7,-1
1501625108664048,5,1,-4,-3,-13,-2,4,-1
1501625108664048,-2,-1,-5,-6,-26,-8,-7,-2
1501625108679055,-7,-9,-3,-5,-3,-3,16,6
1501625108679055,5,5,-1,-1,-2,-1,4,5
1501625108686043,-8,-8,1,-1,-12,-18,-24,-3
1501625108686043,5,8,1,4,-1,1,33,1
1501625108701032,-1,1,-2,-5,10,-6,-20,-5
1501625108701032,6,1,4,6,4,-16,-8,0
1501625108709077,-11,-10,-11,-15,-12,-9,-15,-1
1501625108709077,1,3,3,5,17,18,-10,-2
1501625108716081,-7,-7,-1,3,3,-9,1,-7
1501625108716081,3,-1,-5,-12,-45,-27,0,1
1501625108724046,-1,4,5,13,54,30,0,-3
1501625108724046,-4,-16,-6,-5,-15,-4,15,3
1501625108739097,4,7,0,-5,-1,-7,-26,-10
1501625108739097,-4,-9,-7,0,13,0,-18,-9
1501625108746182,5,17,0,-7,-21,-12,-12,3
1501625108746182,-5,-3,0,5,5,7,2,-1
1501625108761197,-5,-7,-2,3,2,3,-16,-5
1501625108761197,-1,-6,-1,1,21,9,28,7
1501625108769154,-2,-8,-2,1,-14,4,-1,-5
1501625108769154,0,3,2,-1,-1,3,-16,-2
1501625108776206,0,-1,1,-1,8,10,5,-1
1501625108776206,2,8,0,6,-1,14,0,-3
1501625108784177,6,4,2,2,4,-19,5,1
1501625108784177,-8,-3,-4,-2,23,6,1,-2
1501625108799181,3,1,-2,-6,-27,-21,-1,4
