timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501622450569708,-1,0,1,2,1,5,-2,-2
1501622450569708,-4,-12,-6,-5,-4,-13,-5,-2
1501622450570707,-6,-6,-4,-4,-8,-37,-20,-8
1501622450570707,-2,-2,-3,-4,-11,-17,-15,1
1501622450574732,3,1,3,5,7,32,51,7
1501622450574732,-3,1,0,-3,-5,-7,-38,-7
1501622450576768,-1,-2,1,0,1,-9,-27,4
1501622450576768,-1,-2,-5,2,8,0,-17,-3
1501622450580771,-2,-5,-6,-5,-6,-7,9,-2
1501622450580771,-6,-4,-2,-4,-5,11,7,-3
1501622450589721,3,4,0,3,3,15,3,2
1501622450589721,-2,1,-1,-3,-7,-32,-45,-11
1501622450603759,-3,0,-3,-1,-2,-1,-13,-1
1501622450603759,1,1,0,2,6,17,28,6
1501622450611737,-6,-1,0,-2,-3,-8,-5,-4
1501622450611737,1,2,1,-2,-1,-3,-9,-2
1501622450618770,0,0,0,-2,-4,-16,-13,0
1501622450618770,-2,-2,-5,-2,-8,-34,-22,-5
1501622450634753,0,-1,-1,4,11,62,46,4
1501622450634753,1,2,3,2,4,25,14,2
1501622450640814,0,1,5,8,12,36,32,7
1501622450640814,3,4,0,-2,0,-5,28,3
1501622450687790,2,0,0,2,4,-5,-20,-1
1501622450687790,1,1,4,2,-5,-24,-12,2
1501622450687790,0,-1,-8,-3,3,29,14,1
1501622450687790,-2,-2,-1,1,-2,-8,-16,-6
1501622450688819,0,5,2,1,-1,-3,1,-5
1501622450688819,0,-3,-4,-2,-2,0,7,-2
1501622450689820,-5,-6,-3,-3,-5,-21,-32,-5
1501622450689820,6,11,1,0,2,20,41,7
1501622450700828,-4,-4,-6,-6,-13,-52,-10,-5
1501622450700828,-3,-4,-1,0,4,2,3,-2
1501622450707863,-2,-1,7,5,8,25,16,1
1501622450707863,-4,-3,-3,-4,-8,-6,-23,-1
1501622450716811,-5,-5,-1,-3,-3,-12,-2,-1
1501622450716811,1,0,-4,-2,-5,-11,-17,-1
1501622450730880,2,2,-3,-4,-8,-31,-22,-4
1501622450730880,-5,-2,3,1,-3,-39,-62,-12
1501622450737884,0,0,-3,0,4,34,32,1
1501622450737884,-2,1,5,2,8,3,-49,-5
1501622450745832,-4,-9,-7,-2,5,25,26,6
1501622450745832,0,1,-2,-1,-1,-11,-11,-1
1501622450760842,1,3,1,-1,-2,-9,-12,-2
1501622450760842,-1,-5,-3,1,2,8,3,-2
1501622450767991,-1,3,-2,-2,-4,-16,-7,-7
1501622450767991,-1,-5,-3,-1,1,33,49,3
1501622450776965,-2,-2,2,0,3,30,15,5
1501622450776965,1,2,0,2,0,2,26,4
1501622450791008,2,2,0,-5,-8,3,37,5
1501622450791008,3,3,-1,1,2,-6,-15,0
1501622450798067,-4,-4,0,3,8,13,0,-2
1501622450798067,-2,1,3,-4,-4,14,21,1
1501622450805131,1,2,-2,-2,-1,-16,-11,-2
1501622450805131,-5,-10,-3,-3,0,4,4,-1
1501622450820141,-3,-6,-4,-4,-3,3,-20,-5
1501622450820141,0,-2,-5,-6,-7,-4,3,-2
1501622450828091,-1,1,3,3,1,-20,30,0
1501622450828091,0,-3,-1,-1,0,21,56,1
1501622450837122,-5,-7,-3,-4,-6,-30,-20,-7
1501622450837122,0,-1,2,4,9,42,34,0
1501622450851132,2,-1,-2,1,2,12,-11,4
1501622450851132,2,1,-2,-4,-2,-15,22,4
1501622450858167,-4,-4,0,1,0,2,-1,1
1501622450858167,2,6,0,-3,1,-11,-11,0
1501622450865118,-3,0,4,-1,-4,-1,13,-6
1501622450865118,2,3,-1,0,3,13,-17,-1
1501622450880183,-2,-6,-3,-1,1,-2,-8,1
1501622450880183,8,9,4,1,0,3,5,0
1501622450888169,3,0,-3,-1,0,19,-3,1
1501622450888169,-2,-1,1,-2,-3,13,-25,-2
1501622450897277,3,3,2,1,2,32,26,2
1501622450897277,-5,-7,-4,-1,0,-3,-9,2
1501622450911320,1,1,-1,-2,0,-14,-13,-2
1501622450911320,-6,-5,-5,-5,-2,5,-41,-6
1501622450918293,4,4,0,0,-5,-24,5,2
1501622450918293,-2,-3,-3,1,-1,24,-7,-2
1501622450925275,-3,-4,-3,-4,-8,-19,-41,-7
1501622450925275,-4,-5,-3,1,0,-13,0,-5
1501622450940340,-1,2,-1,1,1,10,-35,-6
1501622450940340,-1,0,-6,-6,-9,-18,7,-5
1501622450948317,-2,-1,0,-2,-3,-8,-2,0
1501622450948317,0,-2,-1,0,2,-12,19,2
1501622450957320,0,-1,0,3,5,12,36,-1
1501622450957320,0,1,1,1,-1,-2,2,4
1501622450971362,-7,-9,-5,-2,-6,-29,-47,-10
1501622450971362,9,14,4,2,-2,-10,-1,2
1501622450978345,2,0,0,0,-5,-7,-1,1
1501622450978345,-3,-4,-2,2,2,-17,-10,0
1501622450985372,-6,-6,-3,0,3,-3,19,4
1501622450985372,-5,-7,0,-1,-3,1,4,-1
1501622451000326,-3,-1,-5,-3,-2,-5,9,-4
1501622451000326,-2,0,1,-1,-5,-12,-21,-5
1501622451008358,1,2,5,3,8,9,-19,0
1501622451008358,-4,-6,-7,-3,-10,-15,-2,-2
1501622451017361,4,5,2,-2,1,-5,-2,1
1501622451017361,0,-1,-2,-1,-4,-14,6,1
1501622451031376,4,5,-3,-2,-2,-3,-15,0
1501622451031376,0,3,3,7,13,38,56,2
1501622451046384,-2,-5,-2,0,-5,-3,3,0
1501622451046384,-3,-4,-3,-1,-2,0,-16,-3
1501622451046384,0,0,4,4,5,13,33,2
1501622451046384,0,-2,-1,-3,-2,-7,-25,-3
1501622451060425,-2,1,-1,-3,-1,6,13,4
1501622451060425,0,-1,-2,1,4,7,19,1
1501622451067390,-1,1,0,-1,-4,17,14,0
1501622451067390,-5,-11,-7,-3,-2,-13,-33,-7
1501622451084381,1,5,-1,-2,-5,-6,21,3
1501622451084381,-3,-4,-1,-2,2,18,21,4
1501622451091447,1,-1,0,-1,0,15,-17,-3
1501622451091447,0,3,-1,-6,-10,-16,-1,0
1501622451098391,2,1,-1,2,1,-10,-40,1
1501622451098391,0,-1,-2,-4,-2,18,28,1
1501622451105401,-4,-6,0,2,1,-22,-18,0
1501622451105401,0,2,-1,-2,0,11,-3,0
1501622451120467,0,1,0,-2,0,22,-16,-3
1501622451120467,-3,-5,-5,-5,-7,-25,-29,-7
1501622451127473,0,1,-1,0,-4,-14,-18,-2
1501622451127473,-2,-6,0,-1,0,-14,-41,-2
1501622451136478,3,4,4,2,3,-12,12,3
1501622451136478,1,-1,0,0,1,-4,-16,-2
1501622451151432,-6,-5,-5,-5,-5,8,6,-2
1501622451151432,1,4,0,-3,-4,-13,-6,3
1501622451158465,-2,3,-2,-2,0,1,12,1
1501622451158465,-4,-4,-2,0,-2,-3,-10,-6
1501622451165439,5,5,6,2,5,11,-32,0
1501622451165439,-2,-5,0,1,4,4,4,3
1501622451180509,-1,-5,-3,-2,1,6,-8,-1
1501622451180509,2,1,0,3,5,-19,-22,-4
1501622451187483,-2,0,-1,-1,0,28,20,-2
1501622451187483,0,2,1,3,10,21,-28,-6
