timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625228894585,-6,20,-8,-1,-5,40,8,2
1501625228894585,4,-6,9,1,10,9,14,5
1501625228895599,3,-24,8,0,6,-16,-24,-6
1501625228895599,-1,12,-10,0,-4,-2,-23,-7
1501625228900588,-6,4,-6,-1,-7,1,-22,-8
1501625228900588,-1,5,2,-4,-4,-9,-1,-3
1501625228903609,3,-9,4,-5,-7,-69,-56,-4
1501625228903609,-3,0,-3,2,1,38,19,8
1501625228905607,4,20,-7,0,-5,13,7,-3
1501625228905607,-16,-16,-3,2,9,-18,-5,-7
1501625228916600,5,-15,12,3,4,3,-4,-1
1501625228916600,1,5,-6,-1,-9,-22,-9,-3
1501625228930625,-3,12,-9,-5,-7,7,12,7
1501625228930625,-6,-9,1,-4,-4,2,0,-6
1501625228936629,-6,-22,3,-1,9,8,21,2
1501625228936629,8,10,-1,1,0,20,42,1
1501625228944619,-4,12,-4,-4,-7,-11,2,-5
1501625228944619,2,2,2,1,4,-2,55,4
1501625228959686,4,-17,3,-3,10,47,-38,-1
1501625228959686,-20,1,-6,1,1,26,-8,-14
1501625228965690,-7,-3,-6,-3,-4,-4,-4,0
1501625228965690,-3,4,-3,-7,-9,-10,-1,-9
1501625229004680,-7,21,-14,-5,-16,3,-2,-9
1501625229004680,6,14,-1,-5,-8,-24,34,12
1501625229012686,-3,-21,10,5,13,43,20,4
1501625229012686,9,-14,-3,-2,-1,-20,-21,0
1501625229012686,-5,14,-5,-3,-9,-18,-19,-1
1501625229012686,-3,9,2,3,5,41,40,7
1501625229014668,3,0,5,2,1,-32,-48,0
1501625229014668,0,-17,0,-1,2,-15,-20,-6
1501625229025706,0,4,-8,-3,-10,-8,10,-4
1501625229025706,-5,11,-3,-1,-7,8,-20,-3
1501625229034685,1,-9,4,-4,2,-2,-7,-1
1501625229034685,-10,-13,0,-1,-2,-11,-4,-1
1501625229040703,-1,8,-4,2,3,21,11,-12
1501625229040703,-5,2,-2,-1,-2,3,-21,-5
1501625229056714,0,-5,1,-4,-1,-20,56,5
1501625229056714,3,-7,3,2,1,-16,14,2
1501625229062717,5,3,-5,0,0,15,47,18
1501625229062717,-2,6,1,-2,0,24,46,1
1501625229071732,6,-11,3,0,6,5,-9,-3
1501625229071732,1,0,-2,-2,-2,-10,-3,-5
1501625229085735,-4,2,-3,-1,-3,13,5,3
1501625229085735,0,-3,1,6,19,40,-36,-2
1501625229093781,-5,-3,1,-4,-8,-20,-5,-9
1501625229093781,0,-4,-6,-1,2,8,-14,0
1501625229099786,-2,-1,1,2,-1,-4,-46,-8
1501625229099786,-9,-7,-3,-4,-7,-30,5,-8
1501625229116741,2,3,-2,-5,-4,16,5,-4
1501625229116741,-4,-1,2,1,4,-3,-7,-2
1501625229122800,0,3,-3,-6,-10,-31,-38,-8
1501625229122800,-5,-2,0,1,-1,-4,-23,-1
1501625229131752,-1,-6,-2,-1,0,-7,49,7
1501625229131752,10,0,-1,1,-5,-9,-8,3
1501625229144817,1,2,-2,-3,2,27,57,10
1501625229144817,-7,2,-2,-3,-8,-23,-1,-9
1501625229153823,1,-4,3,1,-4,21,-2,-2
1501625229153823,-1,-5,-2,-1,4,17,0,-3
1501625229159827,-1,-1,-2,0,-5,-15,-8,-4
1501625229159827,3,0,2,3,1,0,-19,1
1501625229176798,-11,-8,-2,-4,-4,-36,-55,-10
1501625229176798,7,8,-6,-4,-10,-2,5,2
1501625229182843,6,4,2,3,4,27,17,14
1501625229182843,1,0,-1,-2,3,29,32,4
1501625229191809,-6,-4,-1,-2,-5,-38,-23,-3
1501625229191809,2,7,-2,-2,-7,-47,-10,-6
1501625229204861,-1,4,2,2,13,51,3,3
1501625229204861,0,-4,2,0,-1,-2,-13,-3
1501625229213811,-5,-8,-6,-1,1,-19,-21,-6
1501625229213811,2,4,2,3,0,1,25,11
1501625229219870,-4,2,-5,-3,-5,-32,-19,-5
1501625229219870,-5,-9,-4,-6,0,5,4,-1
1501625229236907,-1,0,3,2,3,17,-1,-2
1501625229236907,-6,1,-5,-4,-11,-31,-25,-14
1501625229242966,-2,-2,-1,-1,-5,-41,-40,-7
1501625229242966,0,-7,1,-2,2,24,10,0
1501625229251920,3,2,-1,-3,0,-9,20,3
1501625229251920,-9,-5,-2,0,-2,16,25,4
1501625229264983,6,7,3,5,6,11,57,15
1501625229264983,6,3,-3,-1,-6,-27,-17,-5
1501625229273949,-3,-8,0,1,3,24,16,-2
1501625229273949,8,9,2,2,3,34,44,11
1501625229279938,-9,-2,-2,-2,-2,22,2,-14
1501625229279938,2,-7,2,1,3,0,7,6
1501625229297001,5,2,-1,2,-1,-1,12,4
1501625229297001,-1,0,-1,1,3,37,28,4
1501625229303046,-2,-4,-3,-4,-1,-8,-31,-7
1501625229303046,-6,5,4,2,4,13,-17,-6
1501625229318138,-11,-9,-3,-2,-1,-10,-7,-3
1501625229318138,2,10,1,-3,-4,-3,-54,-11
1501625229325143,0,0,1,3,5,17,49,6
1501625229325143,-2,-3,-1,-5,-12,-62,-13,-3
1501625229334094,3,-1,0,1,1,-13,-16,2
1501625229334094,-6,-5,-6,-2,1,-5,-28,-4
1501625229340156,-3,-3,-1,-1,5,31,-18,3
1501625229340156,-7,-10,-6,-2,-5,-17,14,-3
1501625229357166,11,1,1,0,7,19,10,0
1501625229357166,-3,0,-4,-3,-6,-25,0,-1
1501625229363114,-2,-3,0,0,0,-20,8,-3
1501625229363114,-1,-6,-2,-5,-3,-3,-2,1
1501625229378183,0,-3,0,4,1,-9,-9,2
1501625229378183,-5,0,-8,-7,-13,-42,-7,-11
1501625229385186,1,4,1,1,-2,-23,-38,-4
1501625229385186,5,-1,2,0,0,26,29,8
1501625229394142,-1,-2,0,-1,-2,-8,-22,-2
1501625229394142,-8,-7,-5,-3,-4,4,23,-3
1501625229400196,11,16,10,7,12,33,19,10
1501625229400196,2,0,3,6,16,69,51,7
1501625229416210,7,-2,-5,-3,3,13,1,4
1501625229416210,-2,-5,-2,3,4,5,7,5
1501625229423215,-1,0,-5,-4,-9,-7,27,-3
1501625229423215,-2,2,-2,-1,0,-23,-23,-8
1501625229446187,-5,-6,1,-2,0,19,-11,-1
1501625229446187,0,2,-3,0,1,18,-21,-3
1501625229447190,-4,-6,-4,-1,-2,5,-3,-3
1501625229447190,3,1,2,1,-1,-8,-3,3
1501625229454194,-2,1,0,-4,-10,-40,-12,-3
1501625229454194,-3,3,0,3,4,12,-12,-6
1501625229460241,1,-2,-2,-1,-4,4,-19,1
1501625229460241,1,-2,1,4,10,16,-9,1
1501625229477253,4,0,0,-1,4,45,55,2
1501625229477253,-2,0,1,2,6,38,6,-2
1501625229483257,-2,-1,-3,-3,-3,11,20,-1
1501625229483257,0,0,-1,-4,-2,1,-16,-1
1501625229498227,-3,1,-2,-2,-3,-26,-28,-6
1501625229498227,3,1,2,-2,-1,-2,-5,0
1501625229505275,-5,-9,-5,-4,-4,-16,-4,-7
1501625229505275,-3,-1,5,2,0,-29,-5,-1
1501625229514221,12,-3,1,1,8,52,-16,10
1501625229514221,0,4,-1,1,-2,-22,-3,-5
1501625229520283,3,1,-1,-1,2,35,31,6
1501625229520283,-3,-6,-2,-1,-4,-38,-64,-8
1501625229537262,-7,-4,-1,0,-2,-20,5,-3
1501625229537262,-1,3,-2,-4,-8,5,-30,-3
1501625229542297,1,0,1,2,8,-1,26,2
1501625229542297,-3,-6,-4,-3,-8,-21,8,-4
1501625229557307,-5,1,-2,-2,-3,-7,19,0
1501625229557307,-3,0,0,2,3,39,60,7
