timestamp,x,y,z
1501624048928665,-0.9375,0.1875,0.4375
1501624048943688,-1,0.25,0.1875
1501624048968703,-0.5625,0.75,-0.5
1501624048988763,-0.75,1.125,-1.1875
1501624049003773,-0.25,1.4375,-2.4375
1501624049027790,0.125,0.875,-3.25
1501624049073766,-0.3125,-0.875,-3.9375
1501624049074767,-0.875,-2,-4.1875
1501624049088792,-1.4375,-2.375,-4.3125
1501624049108846,-0.9375,-1.875,-3.5625
1501624049124818,0.3125,0.3125,-2.625
1501624049147855,0.25,2.8125,-1.8125
1501624049190851,0.1875,2.5,-1.625
1501624049200870,-0.125,1.1875,-0.9375
1501624049207877,-0.6875,0.5,-0.375
1501624049228932,-0.8125,0.375,0.1875
1501624049244887,-0.625,0.625,0.1875
1501624049265959,-0.375,0.9375,-0.1875
1501624049288979,-0.6875,1.0625,-1.125
1501624049304930,0.0625,0.5625,-2.5625
1501624049326002,-0.9375,0.4375,-4.375
1501624049349017,0.1875,1.1875,-5.25
1501624049371979,0.8125,0.875,-5.375
1501624049386043,1.25,-0.5625,-5.3125
1501624049409057,0.25,-1,-5.375
1501624049432049,-1.25,-1.875,-4.75
1501624049446082,-1.3125,-2.1875,-3.1875
1501624049469106,-1.1875,-1.8125,-1
1501624049492078,-0.5,-1.4375,1.5625
1501624049506129,-1.1875,-1.875,3.8125
1501624049529127,-0.875,-2.875,4.9375
1501624049551187,-1,-4,4.9375
1501624049567197,-1.1875,-3.9375,4.25
1501624049589220,-1.4375,-3.0625,2.9375
1501624049611242,-0.625,-2.625,2
1501624049627239,-0.0625,-1.5,1.1875
1501624049649268,0.1875,0,0.4375
1501624049671289,0.5,0.75,0.1875
1501624049687302,1,1,1.125
1501624049709370,0.9375,1,2.4375
1501624049731390,-0.125,-0.1875,3.875
1501624049747385,-0.125,-1.125,4.8125
1501624049769408,-0.9375,-1.0625,5.0625
1501624049791421,-0.6875,-1.125,4.1875
1501624049807435,-1.3125,-1.3125,2.625
1501624049829439,-0.3125,-0.625,1.5
1501624049851467,0,-0.125,-0.125
1501624049867466,-0.3125,0,-1.875
1501624049888480,0.375,0.375,-2.9375
1501624049911634,0.5,0.375,-3.0625
1501624049927264,0.5625,0.1875,-3.25
1501624049948290,0.4375,0,-3.125
1501624049971294,0.625,-0.3125,-2.125
1501624049987304,0.25,0.0625,-1.125
1501624050008332,-0.5,-0.1875,0
1501624050031838,0,-0.4375,1.5
1501624050047350,-0.75,-1.0625,3.4375
1501624050068735,-1,-1.8125,4.3125
1501624050092044,-1.125,-1.5625,4.125
1501624050107054,-1.3125,-0.875,3.5
1501624050128124,-0.3125,-0.3125,2.3125
1501624050152101,-0.1875,0.5625,0.5625
1501624050176105,0.0625,0.8125,-1.125
1501624050190149,0.375,0.5,-2.5
1501624050213362,0.6875,0.5625,-2.875
1501624050226998,0.6875,0.8125,-2.875
1501624050249959,0.4375,0.625,-2.75
1501624050272980,0.25,0.1875,-2.625
1501624050287001,0.0625,-0.25,-2.25
1501624050310001,-0.25,-0.3125,-1.375
1501624050333102,0.1875,0.25,-0.375
1501624050347127,0.3125,0.5625,0.3125
1501624050370128,-0.0625,0.4375,0.5625
1501624050393144,-0.1875,0.3125,0.6875
1501624050407170,-0.5625,0.25,0.5625
1501624050430182,0.1875,0.1875,0.4375
1501624050453188,0.4375,0,0.25
1501624050467196,0.375,-0.25,-0.25
1501624050490213,0.4375,-0.25,-0.5625
1501624050513245,-0.125,0.0625,-0.5625
1501624050534244,0.0625,0.375,-0.125
1501624050550257,0.3125,0.875,0.1875
1501624050573307,0.3125,1.25,0.3125
1501624050594324,0.0625,1.1875,0.4375
1501624050610354,0.0625,1.1875,0.3125
1501624050633328,-0.125,1,0.3125
1501624050654439,0.0625,0.1875,0
1501624050670410,0.375,0.0625,-0.3125
1501624050693426,0.375,0.3125,-0.5
1501624050714492,0.0625,0.1875,-0.75
1501624050730450,0.3125,-0.125,-0.875
1501624050753516,0.0625,-0.625,-0.6875
1501624050774536,0.375,-0.8125,-0.6875
1501624050790492,0.375,-0.25,-0.5
1501624050813561,0.375,0.375,-0.5
1501624050834575,0.125,0.625,-0.25
1501624050849534,0.6875,0.3125,0
1501624050872560,0.4375,0.625,-0.0625
1501624050894583,0.125,0.8125,-0.1875
1501624050909576,0.375,0.75,-0.0625
1501624050932593,0.4375,0.9375,-0.4375
1501624050955622,0.0625,0.625,-0.6875
1501624050969618,0.1875,-0.1875,-1
1501624050992643,0.3125,-0.5625,-1
1501624051014651,0.625,-0.5,-0.9375
1501624051029661,0.1875,-0.5,-1.125
1501624051052760,0.3125,-0.0625,-0.875
1501624051075858,0.625,0.5,-0.625
1501624051089834,0.375,0.625,-0.5
1501624051112883,0.375,0.5625,-0.625
1501624051135877,0.375,0.125,-0.375
1501624051149875,0.625,-0.0625,-0.25
1501624051171903,0,0.0625,-0.4375
1501624051195920,-0.125,0.25,-0.1875
1501624051209930,0.5625,0.625,0.1875
