timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625405530647,-4,-31,10,-1,3,-25,-5,-5
1501625405530647,8,-13,2,-5,-26,-46,-25,-9
1501625405531657,5,16,-5,2,4,22,10,2
1501625405531657,-7,14,-5,-1,-10,16,5,7
1501625405532652,-3,-21,3,-5,2,2,3,0
1501625405532652,10,-14,3,-3,14,-20,-10,-8
1501625405532652,-7,3,-6,3,-8,4,-36,-7
1501625405532652,1,13,-2,0,-9,15,-8,6
1501625405544666,1,-3,8,3,6,-6,3,1
1501625405544666,2,-20,1,-3,3,-3,31,-4
1501625405554653,-2,11,-11,-9,-23,-18,-4,-3
1501625405554653,-6,8,-4,0,4,7,0,3
1501625405558677,-3,-9,2,-3,2,10,-30,-6
1501625405558677,-4,-24,-1,-1,-2,-22,19,2
1501625405574689,3,18,-2,3,-7,6,6,-1
1501625405574689,-4,10,1,2,-7,12,5,2
1501625405583694,5,-2,5,0,17,-2,9,2
1501625405583694,-9,-11,-2,0,-3,-13,-8,-8
1501625405588697,-3,2,-6,1,7,22,9,1
1501625405588697,2,10,3,1,-6,-10,20,13
1501625405603699,-5,-8,4,0,0,-4,13,-4
1501625405603699,1,-7,-2,3,35,14,-28,-8
1501625405612697,0,8,-2,0,-8,-9,23,5
1501625405612697,-1,6,-2,-5,-5,11,8,1
1501625405651725,0,-23,11,1,6,-19,-10,-10
1501625405651725,5,-15,-4,-5,-4,-27,-8,-8
1501625405652725,0,18,-9,1,-5,16,-18,1
1501625405652725,-13,4,1,-3,-22,7,4,5
1501625405653724,-2,-20,0,-1,12,-22,27,1
1501625405653724,12,-1,6,5,1,-3,-25,-9
1501625405656751,-9,13,-7,-2,-14,-10,0,-7
1501625405656751,2,7,0,0,9,13,5,10
1501625405663788,-1,-12,6,-4,-7,-7,-6,0
1501625405663788,1,-18,-3,-2,4,-9,10,-4
1501625405671796,1,11,-7,2,9,14,5,3
1501625405671796,-3,10,0,-2,-6,9,-15,2
1501625405678742,-2,-9,6,-6,-9,-12,6,-2
1501625405678742,0,-14,-4,-3,-9,-20,-11,-6
1501625405693850,7,18,-7,-4,-19,11,2,3
1501625405693850,-7,3,4,0,7,-8,-3,5
1501625405700855,4,-10,5,2,23,14,3,-3
1501625405700855,-4,-2,-3,0,-10,-11,14,-2
1501625405708824,-4,4,-8,-5,-13,-5,3,2
1501625405708824,-7,-6,-1,-2,-13,-21,-32,-7
1501625405723872,-1,-8,-1,-3,-1,13,-6,-3
1501625405723872,0,-2,-1,4,7,8,17,-2
1501625405731877,1,4,-1,2,-5,-6,7,2
1501625405731877,-1,1,0,-1,4,7,1,0
1501625405738841,-4,-10,0,0,11,-9,-17,-1
1501625405738841,3,7,-4,-4,9,18,-15,-4
1501625405753856,-2,1,-1,3,9,17,0,0
1501625405753856,3,6,3,2,-7,-10,-12,5
1501625405760862,-6,-5,-2,-2,-4,-11,-20,-5
1501625405760862,-1,-1,1,3,12,7,9,1
1501625405768847,-6,-3,-2,-2,-3,-20,-15,-5
1501625405768847,4,-1,1,2,10,30,3,4
1501625405783953,-5,-1,3,0,-1,-3,-1,-2
1501625405783953,-2,-4,-4,0,2,-4,-4,1
1501625405790979,-2,6,-2,-1,-23,-10,10,-3
1501625405790979,-1,-5,-1,-2,10,5,1,0
1501625405799920,4,-3,3,2,-6,-1,6,-1
1501625405799920,-1,2,-2,-2,-13,0,2,0
1501625405813992,-5,-6,-7,-4,-2,-8,-1,-3
1501625405813992,9,3,2,-1,0,5,22,9
1501625405820993,6,2,4,4,11,13,0,1
1501625405820993,-8,-2,-4,-1,8,1,7,-9
1501625405828970,1,-1,0,0,-6,14,15,0
1501625405828970,-6,-3,0,-2,-9,-12,-7,-11
1501625405843007,6,-1,-1,-2,16,7,-17,2
1501625405843007,0,0,-2,-1,-7,4,46,4
1501625405851007,0,1,-3,-1,12,18,2,5
1501625405851007,-4,-9,0,0,0,-6,6,-3
1501625405859962,-4,-7,2,4,10,4,2,-3
1501625405859962,7,7,-1,2,11,10,5,6
1501625405874030,0,3,-1,-4,0,-7,-24,-3
1501625405874030,1,-2,0,-4,-10,-4,5,0
1501625405881035,-3,2,0,1,8,-11,14,-3
1501625405881035,-6,-3,-4,1,-2,-11,-29,-3
1501625405888041,-2,-4,-1,0,10,19,11,3
1501625405888041,1,2,1,-3,2,-3,3,-3
1501625405903007,-1,-2,0,-2,-3,6,-12,-3
1501625405903007,-2,5,-1,-1,-11,-18,-10,-2
1501625405911056,-1,1,-2,-7,-9,-4,4,2
1501625405911056,-8,-10,-2,2,-11,-15,6,-3
1501625405920004,0,-5,1,0,0,3,1,-4
1501625405920004,2,5,1,-2,-16,0,-4,0
1501625405934071,-3,1,-3,-1,7,-1,9,-1
1501625405934071,0,-4,0,-2,1,-7,-14,-4
1501625405941040,4,0,0,-1,-11,-8,24,1
1501625405941040,-5,-6,-4,-3,-9,-1,-26,-1
1501625405948081,3,4,1,7,31,16,3,1
1501625405948081,1,-8,1,2,28,20,5,-1
1501625405963094,5,3,-2,-3,-9,-8,4,2
1501625405963094,-4,9,-2,-4,-13,0,0,-2
1501625405971099,-1,-1,-4,0,0,-8,-14,0
1501625405971099,-2,-4,-2,-5,-9,-3,1,-3
1501625405980062,-5,-8,1,1,9,3,-9,-2
1501625405980062,3,1,-3,1,-1,2,36,3
1501625405994115,0,1,-1,-4,-32,-23,-3,0
1501625405994115,-2,-12,1,2,22,16,-7,-1
1501625406001160,0,-2,-4,-1,-21,-4,9,1
1501625406001160,-2,2,-1,-3,1,0,-16,-2
1501625406016211,-1,5,-1,-1,-10,-5,9,1
1501625406016211,2,-2,-1,-4,-5,-1,15,0
1501625406031166,-1,-3,0,-1,-2,-8,-26,-4
1501625406031166,-2,5,-2,0,-2,-4,-6,-1
1501625406032182,-4,-6,-3,-1,2,4,-5,0
1501625406032182,2,8,4,0,3,8,2,-1
1501625406040187,-1,-1,0,-1,-14,-45,-14,-3
1501625406040187,-6,-12,-4,0,11,5,-15,-2
1501625406054241,1,10,0,0,2,13,36,3
1501625406054241,2,-4,1,3,-6,-9,-6,-3
1501625406061248,-3,-8,-3,-6,-9,-3,14,-2
1501625406061248,-1,5,1,2,2,-4,-6,-1
