timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501623863659439,-3,-6,-3,-7,3,-5,3,-6
1501623863659439,-2,1,1,0,-6,-4,-4,-1
1501623863659439,1,3,1,-1,-5,3,6,-2
1501623863659439,-4,-5,-3,0,5,0,-2,-2
1501623863660440,4,2,4,1,-5,5,7,0
1501623863660440,-8,-11,-7,-1,10,-2,-9,-2
1501623863661441,0,5,1,-5,-24,-8,10,2
1501623863661441,-4,-7,0,-1,8,13,-14,-3
1501623863672448,7,11,4,4,2,-15,-24,3
1501623863672448,-1,-3,-5,0,-1,4,7,-2
1501623863682455,-5,-2,-5,-11,-16,-8,-32,-4
1501623863682455,1,1,0,2,9,4,-4,3
1501623863688460,-3,-1,1,3,-2,-4,-5,-4
1501623863688460,-1,0,-4,-2,-4,2,6,3
1501623863702467,4,1,-4,0,7,-9,-10,-1
1501623863702467,-12,-6,-4,-8,-10,1,7,-10
1501623863712477,-1,-4,-8,-3,1,5,26,5
1501623863712477,-3,0,1,-2,-3,0,7,0
1501623863717479,2,4,-1,1,8,6,20,3
1501623863717479,-2,-5,-1,-2,-7,-2,10,-4
1501623863732489,-2,0,3,3,9,4,-2,0
1501623863732489,2,3,3,3,0,3,-1,-1
1501623863740495,-2,-5,-4,-4,-2,-3,-10,-2
1501623863740495,0,0,3,6,5,-3,3,2
1501623863780525,5,6,1,-1,-3,-3,9,-2
1501623863780525,1,6,2,3,3,2,3,-4
1501623863781525,-1,-1,-1,-2,0,8,12,0
1501623863781525,1,-2,-1,-2,-5,-6,-9,1
1501623863782526,-2,-2,-2,2,0,6,55,6
1501623863782526,-7,-8,-1,0,-1,-1,4,-7
1501623863785528,4,-1,-6,-3,-4,-5,-10,2
1501623863785528,1,-6,-3,1,1,5,18,2
1501623863791533,3,12,2,-3,-6,-6,-19,2
1501623863791533,0,-1,-3,-4,3,-5,7,4
1501623863799538,1,4,0,-1,-1,5,1,2
1501623863799538,-6,-6,-2,-2,2,2,8,0
1501623863808544,-2,-8,-1,1,3,-6,-15,-7
1501623863808544,3,7,3,2,-6,-1,-1,1
1501623863822554,-5,-5,-1,-2,1,-7,-8,-2
1501623863822554,-2,3,0,0,-2,4,2,-3
1501623863829559,1,8,-1,-6,-1,-4,4,0
1501623863829559,-6,-5,-1,4,9,8,-16,0
1501623863836564,5,8,4,4,8,-9,-6,-2
1501623863836564,-3,-2,0,-6,-13,-5,-21,-7
1501623863851575,-2,-10,-4,1,9,8,-4,2
1501623863851575,2,-4,-6,-8,-9,-2,-25,-4
1501623863859581,-3,4,0,3,2,-3,7,-1
1501623863859581,5,17,7,2,2,5,-2,-1
1501623863868587,-6,-6,-5,1,-3,-10,-12,-4
1501623863868587,3,2,1,-2,-4,-13,-2,3
1501623863882597,-7,-9,-4,-1,2,13,21,-5
1501623863882597,6,1,1,1,3,-5,12,0
1501623863889602,-13,-22,-5,-1,4,11,-43,-5
1501623863889602,16,20,8,-1,-14,-15,-14,7
1501623863896607,-1,8,1,2,0,1,11,13
1501623863896607,-8,-9,-8,-11,-11,-2,-13,2
1501623863911617,1,1,-1,-1,6,-4,1,-1
1501623863911617,-8,-11,-6,-1,0,2,16,0
1501623863919623,-2,-3,4,7,8,8,-1,-3
1501623863919623,-1,-4,-2,-1,-4,-5,-17,-3
1501623863928627,-3,1,-5,-5,-6,-2,1,-2
1501623863928627,-5,-4,-3,0,5,11,12,-4
1501623863942639,5,1,-1,-6,-9,-9,-23,-2
1501623863942639,2,4,0,5,7,8,54,11
1501623863949644,0,-1,2,1,-4,10,-6,-4
1501623863949644,-3,-2,-2,-8,-4,11,9,-2
1501623863956649,0,-2,-3,-2,-5,-4,-4,-5
1501623863956649,-1,-4,-1,1,5,-5,23,4
1501623863971658,2,0,2,2,-4,-18,-41,-5
1501623863971658,-7,-8,-2,2,-1,-2,-3,5
1501623863979665,7,8,-1,-1,0,2,0,4
1501623863979665,-6,-3,-1,0,2,8,-15,-6
1501623863988672,10,4,2,-3,-8,0,26,7
1501623863988672,-4,1,0,2,6,-1,4,-8
1501623864002681,-5,-7,-5,-2,-5,-3,33,1
1501623864002681,1,4,3,1,1,-1,-25,-5
1501623864009687,-8,1,-2,1,-1,-2,20,2
1501623864009687,4,-3,-2,-4,-5,-8,-8,-1
1501623864016691,2,0,2,-3,3,6,12,2
1501623864016691,-10,-17,-7,-1,-3,-3,-20,0
1501623864031702,0,-1,2,-2,1,1,-5,-2
1501623864031702,0,5,1,2,0,-1,22,0
1501623864039708,0,5,-3,-2,-5,-7,-26,-10
1501623864039708,-2,-4,-7,-4,-6,-14,-15,2
1501623864048714,0,-3,2,-3,5,11,-8,3
1501623864048714,2,6,1,5,7,1,-33,-1
1501623864062722,-4,-5,0,-5,-6,-12,-16,-2
1501623864062722,4,3,2,1,-1,-3,9,-9
1501623864069726,0,2,-2,-1,6,3,-7,4
1501623864069726,-2,-1,-1,-4,-14,-15,13,-2
1501623864076733,-3,-7,3,3,11,9,1,0
1501623864076733,3,6,0,-5,-8,-4,-9,-6
1501623864091744,2,5,3,3,-2,-3,24,1
1501623864091744,0,4,-3,-3,-2,0,-9,1
1501623864099750,-12,-12,-7,-5,-5,10,31,-1
1501623864099750,8,7,-2,-4,2,-8,-20,-1
1501623864108756,-4,-3,-4,1,6,6,17,-4
1501623864108756,-2,-6,-5,-3,-3,14,40,-2
1501623864122765,-6,-8,-4,-2,-2,-10,-30,-9
1501623864122765,-1,1,1,-2,-6,2,11,5
1501623864129772,0,4,0,2,1,-5,25,-4
1501623864129772,-4,-8,-6,-5,3,-5,-3,0
1501623864136775,-4,-4,-2,-5,-2,13,9,-1
1501623864136775,1,2,2,1,-7,-6,0,-7
1501623864151786,4,6,3,1,-3,-13,7,-1
1501623864151786,-1,5,5,3,6,-5,-28,-1
1501623864159792,-4,-8,-7,-6,-5,-1,0,-3
1501623864159792,1,0,0,-2,2,-4,-42,-3
1501623864168799,3,4,2,0,0,3,7,4
1501623864168799,1,1,5,1,1,-2,-12,-6
1501623864182808,-2,1,4,4,2,-10,-31,-6
1501623864182808,2,-1,0,2,3,-3,11,3
1501623864189814,-2,-3,-7,-9,-16,-6,-4,-1
1501623864189814,-3,-4,-2,0,5,7,5,-1
1501623864204824,7,12,1,0,-6,-8,-26,3
1501623864204824,-7,-8,-1,4,10,3,40,-2
1501623864211829,-1,-4,-5,-3,0,13,8,2
1501623864211829,-2,-5,-3,-11,-14,-9,-10,0
1501623864219835,1,3,-2,-2,-6,-11,-13,-2
1501623864219835,-6,0,-2,0,1,5,16,2
1501623864228842,-4,-4,-3,-2,0,0,-27,-5
1501623864228842,-5,-4,-2,1,2,5,17,1
1501623864242851,13,8,3,0,1,-1,14,5
1501623864242851,-8,-9,-4,1,9,-2,-15,-5
1501623864249856,-1,0,-2,-7,-20,-4,-1,-3
1501623864249856,-2,-4,-2,-3,-1,3,0,1
1501623864264866,-5,-10,1,4,2,-3,7,0
