timestamp,x,y,z
1501622942883896,-1.5625,1.5,3.125
1501622942903912,-1.375,1.4375,2.875
1501622942918934,-1.3125,1.3125,2.8125
1501622942943952,-1.5625,-0.0625,2.625
1501622942963956,-1,-1,2.75
1501622942978977,-2.125,-1.1875,2.1875
1501622943020006,-2.9375,-1.25,2.0625
1501622943026011,-1.8125,-1.125,1.9375
1501622943041022,-2.125,-1.3125,1.1875
1501622943064025,-1.375,-1.5,1.25
1501622943085053,-1.3125,-1.75,1.0625
1501622943101064,-0.25,-1.625,1.125
1501622943137090,-1,-1.6875,0.4375
1501622943147084,-1.5,-1.4375,-0.375
1501622943160106,-2,-1.25,-0.625
1501622943182109,-0.9375,-1.4375,-0.375
1501622943205138,-0.0625,-1.0625,-0.875
1501622943220149,-0.0625,-0.375,-1.1875
1501622943242154,-1,0.1875,-1.5
1501622943265186,-1.0625,0.5,-1.9375
1501622943280192,-0.4375,0.6875,-2.3125
1501622943301206,-0.625,0.25,-2.6875
1501622943325224,0.125,-0.25,-2.5625
1501622943340234,0.4375,-0.5625,-3.25
1501622943361249,0.75,-0.1875,-3.375
1501622943385253,0.75,0.25,-3.3125
1501622943400265,0.375,0.75,-3.25
1501622943421292,0.3125,1.3125,-2.6875
1501622943444309,1.25,1.125,-2.3125
1501622943460307,0.25,1.125,-2.0625
1501622943481334,0.0625,1.25,-1.875
1501622943504351,-0.0625,1,-1.9375
1501622943520350,-0.3125,1,-2.0625
1501622943541378,0.0625,1.3125,-2
1501622943564381,0.875,1.9375,-2.0625
1501622943580394,0.4375,2.3125,-2
1501622943601421,1.5625,2.6875,-2.625
1501622943624424,2.5,3.25,-3.8125
1501622943647491,2.9375,3.0625,-5.125
1501622943661463,4.4375,2.625,-5
1501622943684468,2.125,1.3125,-3.6875
1501622943700478,-1.75,0.25,-2.9375
1501622943721505,-1.375,-0.1875,-2.875
1501622943744523,-0.625,-0.875,-2.6875
1501622943760522,-0.3125,-0.8125,-2.1875
1501622943783550,0.1875,-1.125,-1.3125
1501622943804552,0.625,-1,-1.25
1501622943820563,0.1875,-0.875,-1.25
1501622943843593,0.5625,-0.375,-1.0625
1501622943864595,0.4375,-0.4375,-0.875
1501622943880619,0.5625,-0.0625,-1.1875
1501622943902635,0.8125,0.4375,-1
1501622943924654,0.8125,0.8125,-1.3125
1501622943947655,0.1875,0.9375,-1.75
1501622943962678,-0.0625,1.125,-1.75
1501622943984693,-0.25,0.9375,-1.6875
1501622944007710,-0.4375,0.8125,-1.875
1501622944022721,0.1875,0.9375,-1.9375
1501622944043735,-0.5,0.875,-1.4375
1501622944067753,0.1875,0.4375,-0.8125
1501622944082763,0.5,-0.3125,0
1501622944103783,-0.1875,-0.9375,0.375
1501622944126782,-0.5625,-1,0.8125
1501622944142809,-0.1875,-1,1.25
1501622944163809,-0.8125,-0.1875,1.3125
1501622944186837,-0.125,-0.1875,1.5
1501622944204850,0,0.3125,1.5625
1501622944223864,-0.6875,0.5625,1.125
1501622944246909,-0.5,0.6875,0.5625
1501622944262879,-0.1875,0.875,0.3125
1501622944283907,-0.5625,0.8125,0.125
1501622944306926,-0.3125,0.5625,0.125
1501622944322921,-0.5,0.375,0.125
1501622944343950,-0.25,0.4375,0
1501622944366966,-0.4375,0.0625,0.375
1501622944382964,0.0625,0,0.8125
1501622944403980,-0.4375,-0.125,0.625
1501622944426995,-0.5625,0.0625,0.6875
1501622944443009,-0.1875,0,1.3125
1501622944464042,-0.125,0.25,1.375
1501622944487051,-0.25,0.375,1.8125
1501622944503050,-0.6875,0.5,1.75
1501622944524077,-0.25,0.5,1.75
1501622944547083,0.25,0.5625,1.875
1501622944563106,0.25,0.625,1.6875
1501622944584120,-0.625,0.8125,1
1501622944607137,-0.375,0.875,0.5625
1501622944623148,-0.0625,0.6875,0.25
1501622944644151,0.5625,0.5,-0.25
1501622944667180,0.25,0.5,-0.6875
1501622944683178,0.5,0.875,-1.1875
1501622944704206,0.125,0.8125,-1.375
1501622944726221,0.125,0.875,-1.4375
1501622944743235,0.1875,0.5625,-1.3125
1501622944765251,-0.25,0.75,-1.1875
1501622944786264,-0.8125,1.1875,-0.9375
1501622944803281,-0.3125,1.1875,-0.6875
1501622944825292,0.0625,1.25,-0.25
1501622944846307,0.0625,1,-0.3125
1501622944863323,0.125,1.25,-0.4375
1501622944885322,-0.25,1.0625,-0.3125
1501622944906338,-0.1875,0.875,-0.4375
1501622944923362,0.5625,0.75,-0.25
1501622944945379,0.3125,0.8125,0.1875
1501622944966392,0.1875,1,0.125
1501622944983392,-0.5625,0.9375,-0.125
1501622945005407,0.1875,0.6875,0.0625
1501622945026435,0.25,0.625,-0.125
1501622945043448,0,0.625,0.1875
1501622945065450,0.125,0.9375,0.375
1501622945086465,0.375,0.8125,0.4375
1501622945109495,0.25,1,0.4375
1501622945125509,-0.375,1.125,0.1875
1501622945146508,-0.5,1.125,0.1875
1501622945169526,0.25,0.8125,0.1875
1501622945185536,0.4375,0.875,0
1501622945206550,0,0.625,0.1875
1501622945229567,-0.3125,0.25,0.25
1501622945245578,-0.125,0.1875,0.0625
1501622945266594,0.125,0.3125,0.1875
