timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625862131362,2,-8,-6,-1,-7,-21,-5,-4
1501625862131362,1,22,-10,1,-14,12,-4,0
1501625862137379,-4,7,-1,-4,-6,-5,0,2
1501625862137379,-1,-13,3,-2,8,-10,8,-2
1501625862138368,1,-11,-2,-2,-10,-25,-8,-2
1501625862138368,-5,7,-6,-1,0,18,-1,0
1501625862139368,-3,11,-1,-1,-12,9,-1,2
1501625862139368,0,-14,5,-2,2,-8,3,2
1501625862150388,3,-10,0,1,2,-2,13,-1
1501625862150388,-1,8,-11,-2,-7,-2,-4,-5
1501625862160395,-5,6,-1,-1,1,8,-10,-2
1501625862160395,2,-12,6,-2,6,-3,2,4
1501625862165399,2,-11,-1,-3,-10,-14,-4,-3
1501625862165399,-1,14,-8,-2,-10,-7,3,-2
1501625862184412,-6,6,2,2,25,38,4,-1
1501625862184412,1,-11,5,0,-5,-28,-7,-3
1501625862187415,2,-4,0,3,25,-8,-9,-2
1501625862187415,-1,6,-5,0,-3,34,4,2
1501625862199409,-2,1,1,-2,-14,-34,21,1
1501625862199409,-3,-11,0,-3,0,7,3,-1
1501625862213420,0,-3,-1,2,-8,28,0,1
1501625862213420,0,4,-2,1,1,-11,-13,-2
1501625862217437,-1,4,2,2,1,8,0,-1
1501625862217437,1,-2,2,0,3,1,-1,1
1501625862264469,-6,23,-11,0,-5,8,-9,-1
1501625862264469,-6,-7,6,-1,20,29,0,1
1501625862265470,1,-25,8,-1,3,-38,-10,-2
1501625862265470,1,6,-6,2,-4,4,5,-1
1501625862265470,-4,18,-10,-2,-11,8,-7,-2
1501625862265470,0,-2,4,-2,-6,4,12,5
1501625862266457,1,-17,9,2,18,-23,-3,-1
1501625862266457,2,-4,-7,-3,-1,1,-5,-3
1501625862278479,-1,13,-11,-3,-7,21,-1,1
1501625862278479,-5,4,3,-1,-2,-5,-9,-3
1501625862284483,1,-18,8,0,2,0,3,1
1501625862284483,0,0,-5,1,-6,9,3,-2
1501625862293475,-1,15,-7,0,-19,-14,4,0
1501625862293475,-3,-4,2,1,11,17,-12,1
1501625862307499,-1,-14,3,-5,3,-42,-3,-3
1501625862307499,2,5,-5,1,3,23,16,-1
1501625862316505,-1,8,-5,0,-1,27,-9,-2
1501625862316505,-2,-5,3,-3,-2,-18,11,2
1501625862322510,1,-9,3,-1,-1,-14,-5,-2
1501625862322510,-2,4,-8,-3,-3,14,-7,-3
1501625862338521,-1,6,0,0,4,-12,1,3
1501625862338521,0,-4,1,2,-7,-15,0,0
1501625862344526,-1,-7,1,0,29,60,5,-3
1501625862344526,-1,3,-2,-2,-17,-42,-8,-1
1501625862353528,-4,3,-3,-4,-6,5,-2,-6
1501625862353528,0,-1,0,1,3,-24,-15,-2
1501625862367529,-1,-7,0,-4,-7,-11,5,1
1501625862367529,1,0,-3,-1,1,-16,-3,0
1501625862376535,-2,3,-2,2,4,6,0,1
1501625862376535,-1,-1,-1,-2,-5,-7,-1,0
1501625862382552,0,-4,2,-2,-10,-5,5,0
1501625862382552,-1,1,1,2,8,-8,-14,-2
1501625862398549,0,5,-4,-2,-21,-18,16,1
1501625862398549,0,-3,2,3,19,17,0,-2
1501625862404568,2,-4,0,-1,2,18,-3,1
1501625862404568,-1,-2,-6,-5,-9,-12,-1,-4
1501625862413638,-2,2,-2,-2,-4,2,1,2
1501625862413638,-1,-4,-1,-4,-2,-6,-15,-2
1501625862427572,0,-4,1,-1,-14,-19,8,1
1501625862427572,-2,-2,-2,0,13,-4,-4,-3
1501625862436577,-1,1,-2,2,11,13,-7,-1
1501625862436577,-1,-4,-2,-5,-7,-21,-4,-5
1501625862442595,-2,-2,0,-3,-3,40,5,-1
1501625862442595,-1,-1,-4,-4,-13,13,6,1
1501625862458593,2,3,2,1,6,1,-10,4
1501625862458593,-2,-2,2,-2,-8,1,6,0
1501625862464598,1,-3,0,3,17,25,3,-2
1501625862464598,2,3,0,1,-14,9,-5,0
1501625862473604,-2,1,0,-1,2,5,0,-2
1501625862473604,1,0,-1,-2,-13,-2,6,2
1501625862487626,-1,0,-2,-1,3,-9,-7,-2
1501625862487626,-2,1,-1,-1,-2,-4,-5,-2
1501625862496633,0,0,-1,-1,1,9,7,2
1501625862496633,0,-3,0,-1,2,-12,0,1
1501625862502638,-1,-3,-2,-2,-4,-5,-8,-6
1501625862502638,-1,2,1,0,5,-4,0,-3
1501625862518637,0,-1,-3,-3,-1,3,8,-3
1501625862518637,-1,-4,-1,0,3,2,-8,-3
1501625862524653,-2,-2,-1,0,-1,-16,-8,-2
1501625862524653,-2,2,-1,-1,1,-4,-2,0
1501625862533647,-1,1,0,-1,2,3,3,-3
1501625862533647,-1,-1,-3,-2,3,9,1,-1
1501625862547655,0,-1,-3,-3,-10,7,-6,1
1501625862547655,-1,1,-1,1,0,-13,4,0
1501625862556675,0,0,2,0,-2,-28,-2,1
1501625862556675,-2,-4,1,-3,-6,-24,-2,-3
1501625862562680,0,-3,-1,1,16,-19,-6,-2
1501625862562680,-6,-1,0,1,9,2,0,-3
1501625862578691,3,-2,2,4,19,12,5,3
1501625862578691,1,-4,-3,-3,-4,15,-8,-2
1501625862584695,0,-2,0,-1,-15,-35,-3,-1
1501625862584695,3,4,-1,2,9,43,-12,0
1501625862593702,-2,4,-2,-1,-2,-12,10,-2
1501625862593702,0,-3,-2,-3,-11,-2,-8,2
1501625862607711,0,-1,-1,3,21,14,5,1
1501625862607711,0,4,1,1,8,16,6,1
1501625862616705,-2,0,-2,-2,-13,5,-2,-2
1501625862616705,0,0,2,0,0,6,12,1
1501625862622707,-1,-2,-2,-1,-13,7,1,0
1501625862622707,0,1,-6,-4,-9,-40,4,0
1501625862638720,-5,-3,0,0,-8,-4,-10,-1
1501625862638720,-1,-3,-3,-2,-1,-8,-1,-4
1501625862644738,1,0,0,0,-7,4,-6,1
1501625862644738,-1,0,0,0,1,13,2,-1
1501625862653744,-2,-1,-1,1,-2,4,4,0
1501625862653744,0,-1,0,0,-1,-8,2,1
1501625862667754,0,-5,0,-1,-3,-21,-4,-3
1501625862667754,2,3,-2,-4,-22,-12,1,-1
1501625862676761,-2,-2,-4,-1,17,16,-5,-3
1501625862676761,1,0,3,3,5,31,20,7
1501625862682752,-2,0,-3,-1,2,-5,3,-1
1501625862682752,-2,0,-1,1,0,-2,1,-1
1501625862698761,0,0,-1,-2,-2,-15,-16,-4
1501625862698761,-3,-2,-2,-1,-1,-5,2,-3
1501625862704780,-1,-3,0,-1,-9,-19,2,2
1501625862704780,-1,-1,-2,-3,2,-19,-5,-5
1501625862713774,0,0,2,-2,-7,-6,-3,1
1501625862713774,1,-6,-2,-4,7,12,-6,-2
1501625862727796,-4,-1,-2,-2,-21,-23,5,0
1501625862727796,-2,2,0,-1,-8,-2,-3,-1
1501625862736802,-1,-1,-1,1,3,-7,2,1
1501625862736802,-4,-4,-1,-1,6,7,0,-5
1501625862742807,-2,0,-4,-5,-8,10,-8,-3
1501625862742807,0,-1,-2,-1,1,-10,3,4
1501625862758806,-1,-2,0,0,-4,10,14,0
1501625862758806,-2,1,1,3,2,-4,-6,0
1501625862764823,2,0,-3,-4,2,13,-3,-3
1501625862764823,-3,-2,-1,-4,-22,-61,-3,0
1501625862773816,0,2,1,2,16,44,3,1
1501625862773816,-1,-4,-2,1,13,-10,2,-1
1501625862787839,1,3,-1,1,1,15,-2,0
1501625862787839,-1,2,-2,-2,0,-9,-12,-2
1501625862796845,-5,0,0,-2,-5,-2,0,-5
1501625862796845,1,-3,1,-1,-6,8,4,1
1501625862809841,-3,0,1,2,6,-4,-3,-2
1501625862809841,0,-3,-5,-2,5,32,3,1
1501625862818849,2,-1,1,-2,-13,17,10,3
1501625862818849,0,-2,0,1,27,45,-13,-2
1501625862824853,1,0,0,2,1,8,9,-2
1501625862824853,-2,3,-1,2,-4,30,11,2
1501625862833859,1,-2,-1,0,1,-18,-11,0
1501625862833859,-1,-2,-3,-3,-17,-14,1,-2
1501625862846883,2,-1,-1,0,1,-24,-3,0
1501625862846883,-3,0,1,1,10,4,11,1
1501625862855888,-2,-2,-2,-3,-10,-7,-10,1
1501625862855888,-1,-2,-1,-6,-30,-42,-3,-6
1501625862869898,-2,-4,-1,0,31,3,-7,-3
1501625862869898,1,2,0,0,6,34,-2,-1
1501625862878888,-2,-4,0,-1,0,-14,4,-2
1501625862878888,0,-2,-5,-3,-6,-17,2,-1
1501625862884908,-3,0,-3,-5,-30,-23,-1,-1
1501625862884908,1,1,2,3,14,16,-1,1
1501625862893913,0,-3,2,2,9,-4,-7,-2
1501625862893913,2,-1,-3,-2,0,-4,3,0
1501625862906923,0,2,-4,-4,-29,-21,-1,-1
1501625862906923,-2,0,2,3,21,21,13,3
1501625862915930,-1,-3,-1,-7,-23,-43,-9,-8
1501625862915930,0,-2,2,-2,1,-12,-7,-2
1501625862929939,-1,2,-3,1,5,18,7,1
1501625862929939,-1,1,-1,-4,-29,-21,-4,0
1501625862938945,-3,-1,-1,-3,24,21,-1,-2
1501625862938945,1,-2,1,0,-3,11,-7,-1
1501625862944950,-1,0,-1,0,5,-6,3,-2
1501625862944950,0,1,-2,-3,-14,-19,-1,0
1501625862953956,-1,-3,-1,1,9,10,-17,-2
1501625862953956,-1,-1,1,0,-8,-2,6,3
1501625862966966,-1,0,1,0,17,17,4,3
1501625862966966,-2,0,-5,-1,5,18,-14,-5
1501625862975959,0,0,0,-4,-19,-12,2,-1
1501625862975959,-3,-3,1,1,-2,-30,-1,-2
1501625862989982,0,-1,-1,0,-7,9,-8,-3
1501625862989982,0,0,1,0,8,15,6,2
1501625862998976,0,-1,2,0,10,9,8,1
1501625862998976,-1,0,-1,3,-1,-5,-6,0
1501625863004992,2,0,-1,-1,-1,15,4,3
1501625863004992,-1,0,0,0,0,-10,-2,-3
1501625863013999,0,-1,-1,0,5,0,2,1
1501625863013999,-1,-1,-2,-4,-6,-39,4,0
1501625863027008,-1,-1,-3,-1,1,7,-6,0
1501625863027008,-5,1,-1,-2,-7,-18,-6,-4
1501625863036014,-2,-2,0,0,4,14,2,1
1501625863036014,2,-2,-1,1,3,-5,-4,2
1501625863050024,1,1,-4,-2,-4,3,10,1
1501625863050024,0,-1,0,1,8,56,5,0
1501625863059030,-4,-3,2,-2,-19,-36,-3,-3
1501625863059030,-1,-3,-2,0,8,7,-5,-1
1501625863065035,-2,2,-3,0,-2,21,-2,-1
1501625863065035,1,-2,-1,-2,-7,-14,3,2
1501625863074041,-3,-2,-1,1,-6,-9,-7,-2
1501625863074041,-1,0,-1,-1,6,51,1,-1
1501625863087051,1,3,0,2,2,21,-12,-4
1501625863087051,-2,-3,-3,-4,-2,5,4,-1
