timestamp,x,y,z
1501623219555436,0.25,1.8125,0.25
1501623219572462,-0.625,2.1875,0.25
1501623219593476,-1.9375,2.375,-0.375
1501623219618494,-1.125,1.5,-0.5625
1501623219633505,-0.25,0.6875,-0.25
1501623219653505,0.25,0.375,0.125
1501623219678536,-0.375,0.25,-0.3125
1501623219709558,-1.25,0.0625,-0.5
1501623219715553,0,-0.1875,-0.625
1501623219739577,-0.5625,-0.0625,-0.5625
1501623219759593,-0.5625,0.0625,-0.3125
1501623219774591,-0.4375,0.875,-0.6875
1501623219797620,-0.25,1.5,-0.25
1501623219826628,0.6875,2.125,0.375
1501623219836647,-0.375,2.5,0.375
1501623219856653,-1.25,2.8125,-0.3125
1501623219878679,-0.875,2.625,-0.375
1501623219893687,-0.875,2.3125,0
1501623219916704,-0.375,1.9375,-0.4375
1501623219938706,-0.8125,1.5,-0.625
1501623219953718,-1.25,0.6875,-0.9375
1501623219976746,-1.0625,0.375,-1
1501623219998762,-0.75,-0.3125,-0.8125
1501623220013773,-0.6875,-0.375,-0.8125
1501623220036776,-0.5625,-0.875,-0.125
1501623220058804,0,-1.1875,-0.0625
1501623220073819,-0.4375,-1.3125,-0.0625
1501623220096831,-0.8125,-0.9375,-0.5625
1501623220118846,-0.25,-0.375,-1
1501623220133858,-0.125,-0.25,-1.25
1501623220156860,0.0625,0.0625,-1.625
1501623220178888,0.3125,0.25,-1.625
1501623220192903,-0.375,0.1875,-1.5
1501623220215914,-0.1875,-0.125,-1.3125
1501623220238931,-0.125,-0.1875,-1.1875
1501623220252940,0,-0.1875,-0.4375
1501623220276957,-0.5,0.3125,-0.0625
1501623220298973,-0.8125,0,0.125
1501623220312983,-0.125,-0.25,0.5625
1501623220336988,0.25,-0.125,0.9375
1501623220359016,-0.4375,0.0625,0.625
1501623220373030,-0.5,0.25,0.75
1501623220397043,-0.4375,0.5625,0.5
1501623220419058,-0.8125,0.4375,0.375
1501623220433067,-0.0625,0.375,0.25
1501623220456111,0.125,0.4375,0.4375
1501623220479128,-0.625,0.875,0.375
1501623220493138,-0.5625,0.5625,0.5
1501623220517130,-0.5625,1.0625,0.3125
1501623220539274,-0.625,1.0625,0.5
1501623220553229,-0.6875,0.875,0.625
1501623220576297,-0.375,0.8125,0.5
1501623220599313,-0.125,0.8125,0.375
1501623220613322,-0.5625,0.5,-0.0625
1501623220636331,-0.3125,0.625,-0.5625
1501623220659403,-0.375,0.6875,-0.3125
1501623220673414,-0.75,0.6875,-0.5
1501623220696429,-0.5625,0.6875,-0.375
1501623220719405,0.25,0.5625,0.25
1501623220733456,-0.5,-0.125,0.4375
1501623220756495,-0.8125,0.1875,0.25
1501623220779559,-0.5625,0.375,0.375
1501623220793575,-0.5625,0.5,0.25
1501623220815595,-0.625,0.625,0.1875
1501623220838592,-0.75,0.4375,0
1501623220861625,-0.375,0.4375,-0.0625
1501623220875635,-0.0625,0.4375,-0.125
1501623220898630,-0.6875,0.25,-0.375
1501623220921750,-0.625,-0.0625,-0.5
1501623220935760,-0.125,-0.125,-0.3125
1501623220958729,-0.0625,-0.1875,-0.1875
1501623220981794,0,-0.5625,0
1501623220995753,-0.25,-0.4375,0.375
1501623221018818,-0.4375,-0.375,0.0625
1501623221041838,-0.375,-0.375,-0.25
1501623221057847,-0.25,-0.125,-0.25
1501623221078817,-0.3125,0,-0.25
1501623221101822,-0.3125,0.1875,-0.375
1501623221115885,-0.5,0.125,-0.25
1501623221138902,-0.25,-0.1875,-0.4375
1501623221161919,0,-0.25,-0.125
1501623221175928,-0.25,-0.3125,0.0625
1501623221198931,-0.5625,-0.4375,-0.0625
1501623221221962,-0.4375,-0.25,-0.125
1501623221236014,0,-0.1875,-0.0625
1501623221259014,-0.3125,-0.0625,-0.25
1501623221282117,0.0625,-0.25,-0.125
1501623221296179,-0.5,-0.0625,-0.25
1501623221318195,-0.375,-0.1875,-0.125
1501623221342159,-0.1875,-0.25,0.125
1501623221356303,-0.25,-0.1875,0.125
1501623221378319,-0.25,-0.375,0.375
1501623221401370,-0.25,-0.25,0.4375
1501623221416453,-0.375,-0.25,0.1875
1501623221438527,-0.1875,0.0625,0.0625
1501623221461522,-0.25,0.1875,0.1875
1501623221476511,-0.3125,-0.125,-0.25
1501623221498547,-0.0625,-0.125,-0.25
1501623221521527,-0.1875,0.1875,-0.0625
1501623221535593,-0.125,0.0625,0
1501623221558612,-0.5,0,0.1875
1501623221580580,-0.5,0,0.0625
1501623221595637,-0.25,0.0625,0.1875
1501623221618652,0.125,-0.3125,0.25
1501623221640667,-0.0625,-0.25,0.1875
1501623221655637,-0.5625,-0.25,0.0625
