timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501622799998843,-8,-4,-5,-1,-18,1,4,-5
1501622799998843,-4,-4,-1,1,18,1,2,2
1501622800003945,-2,-5,-4,-8,-18,-7,5,-5
1501622800003945,-5,4,-2,-2,-18,-17,-29,-2
1501622800004947,2,0,8,4,18,18,6,-1
1501622800004947,5,5,2,-1,-20,-10,3,1
1501622800005932,-1,0,-5,0,31,10,-4,-2
1501622800005932,-1,-2,-1,1,-11,5,10,2
1501622800016948,-8,-3,-3,-3,-2,-4,0,-6
1501622800016948,-6,3,5,5,20,-1,-14,-5
1501622800027941,2,-1,-2,-5,-15,-3,5,6
1501622800027941,0,-1,-1,-4,-19,-21,-19,-6
1501622800031967,0,-1,-6,1,13,31,5,5
1501622800031967,2,-5,1,3,21,7,-8,-4
1501622800048012,-4,-5,3,3,-11,-10,-6,-6
1501622800048012,3,9,-1,0,3,4,15,4
1501622800057018,6,6,1,-1,-25,-14,-10,1
1501622800057018,1,-3,-5,-1,23,9,10,5
1501622800062967,-2,-1,-2,-4,-9,2,11,-3
1501622800062967,-2,-4,0,5,22,13,2,1
1501622800076978,-3,-4,-6,-8,-16,-19,-5,-2
1501622800076978,-5,0,0,-1,-15,1,-3,-4
1501622800086984,10,2,-1,0,-1,0,-9,12
1501622800086984,-4,-5,-2,-1,12,13,6,-4
1501622800116082,-1,-2,3,4,11,6,17,3
1501622800116082,0,4,-2,-3,-2,2,0,-9
1501622800124133,-3,-2,-5,-6,-22,-5,-33,-6
1501622800124133,2,0,1,6,25,-5,4,3
1501622800124133,3,3,2,2,-18,-9,-16,-5
1501622800124133,0,-1,-2,-2,14,-1,2,0
1501622800126106,-3,-4,-2,0,-2,10,5,-5
1501622800126106,-4,1,2,0,5,4,-19,-6
1501622800137132,-7,-7,-4,-3,-1,9,52,3
1501622800137132,-1,1,5,-1,-24,-12,-3,2
1501622800145118,1,1,0,2,17,1,25,4
1501622800145118,-9,-8,-2,-4,8,2,-25,-8
1501622800152156,1,2,0,2,17,9,-10,3
1501622800152156,3,4,0,-2,-20,-5,-9,-2
1501622800168133,-3,-1,0,-2,-3,3,18,1
1501622800168133,0,-1,-4,-3,-23,-10,11,2
1501622800174174,-3,-2,4,1,-7,-20,-29,-4
1501622800174174,-1,-1,-6,0,33,32,7,1
1501622800183129,-1,1,0,-1,-11,-10,0,-2
1501622800183129,-1,4,-2,-4,9,9,-2,-2
1501622800197141,1,1,-1,-1,7,0,-11,-1
1501622800197141,0,-2,12,12,1,-1,1,4
1501622800206197,1,0,-5,-6,-3,-2,28,3
1501622800206197,6,0,0,-2,-11,-19,-22,-1
1501622800211234,1,-1,-5,-4,-24,-3,6,-1
1501622800211234,-4,-4,0,2,19,-4,0,-3
1501622800228244,0,-4,2,4,-1,-8,-20,2
1501622800228244,-7,-2,-10,-7,-27,-12,3,-2
1501622800234306,8,1,-1,-4,-17,-1,3,1
1501622800234306,1,-2,-5,-6,-8,-7,-8,2
1501622800243256,-4,-3,1,4,32,0,-6,-4
1501622800243256,-3,0,0,0,2,4,-9,-2
1501622800256321,-2,3,0,-2,-5,0,-3,-1
1501622800256321,-5,-3,-2,-4,-20,-5,10,0
1501622800265324,3,1,-6,-3,5,9,10,2
1501622800265324,2,3,7,7,0,-5,16,1
1501622800271283,-5,-4,-4,-7,12,-2,-3,-6
1501622800271283,0,-5,-5,0,3,6,6,1
1501622800288289,-6,-1,2,0,-13,-9,-11,-7
1501622800288289,0,-5,-4,-6,-33,-10,-2,1
1501622800294292,2,6,2,7,42,17,0,-3
1501622800294292,9,1,-5,-5,-24,-29,0,3
1501622800303305,-2,-2,-1,1,21,22,-18,-1
1501622800303305,3,1,3,2,9,5,21,-2
1501622800316363,-9,-6,-5,-3,-18,-13,15,0
1501622800316363,-4,0,-1,-2,4,5,-13,-5
1501622800325359,6,1,-2,0,-11,-4,11,7
1501622800325359,-1,6,6,4,14,9,4,2
1501622800331374,-4,-1,-4,-6,-10,-10,-30,-3
1501622800331374,-1,0,2,2,-8,4,1,-6
1501622800348329,-2,-6,-8,-11,-5,3,-13,-3
1501622800348329,-2,-3,-1,3,13,3,17,3
1501622800354390,0,-3,-2,-5,-23,-20,-9,-3
1501622800354390,3,0,1,1,18,14,-17,-3
1501622800363340,4,0,3,-1,-10,-16,10,5
1501622800363340,0,-5,-4,-4,-9,3,-10,-4
1501622800376366,4,4,-3,-4,5,8,3,2
1501622800376366,0,-1,0,-2,-9,-11,-3,0
1501622800385372,-3,0,3,0,-30,-17,-1,-5
1501622800385372,1,-3,-3,6,63,39,6,7
1501622800391411,0,0,4,3,-15,-2,1,3
1501622800391411,-5,-6,-5,-1,11,-6,-10,-5
1501622800408381,-3,1,5,1,-10,-6,-10,-5
1501622800408381,-5,-4,-7,-6,-25,-10,-19,-5
1501622800414432,-2,-3,-1,-2,-20,-5,0,-1
1501622800414432,1,7,3,4,32,20,8,0
1501622800429407,-2,-2,-4,-2,-3,2,-3,-4
1501622800429407,-1,-2,1,0,-4,-8,-30,-6
1501622800436449,-14,-4,-5,-3,18,14,-1,-8
1501622800436449,-2,-4,-2,-4,-9,-9,-3,4
1501622800445397,-1,-1,0,1,10,7,9,-1
1501622800445397,0,0,2,-1,-13,-10,9,-4
1501622800451458,2,0,-4,1,27,19,0,4
1501622800451458,-8,-3,1,-4,-28,-24,1,-6
1501622800468417,1,1,-2,0,27,9,-4,-1
1501622800468417,1,1,-4,-1,-26,-21,-16,0
1501622800474473,5,-2,1,2,11,7,4,5
