timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501622109530660,2,0,-12,-9,-19,14,1,-5
1501622109530660,-2,1,-1,-10,-32,-55,1,0
1501622109531634,5,-1,18,21,91,35,8,5
1501622109531634,3,-16,-21,-8,-12,-12,-18,-4
1501622109532613,0,2,5,1,-13,7,8,-1
1501622109532613,-13,-10,-10,3,-5,13,-11,-6
1501622109533634,7,2,-9,-9,-5,1,5,-4
1501622109533634,-8,10,10,2,1,4,26,8
1501622109545623,2,2,9,10,29,-1,-9,-4
1501622109545623,10,4,0,-7,-39,-3,12,11
1501622109552618,-16,-3,1,6,22,7,-23,-7
1501622109552618,5,4,5,6,20,20,-6,-8
1501622109560623,-2,-4,-9,-11,-47,-12,17,8
1501622109560623,0,1,1,0,-12,-17,-6,-1
1501622109573661,0,-8,-10,-3,-2,2,15,-7
1501622109573661,-11,8,15,4,-32,-14,8,-19
1501622109585658,-2,-10,-4,-2,15,-10,-23,8
1501622109585658,13,3,-3,-11,-25,1,-7,-3
1501622109588667,-3,0,-3,-11,-48,-13,9,1
1501622109588667,5,1,2,6,23,6,13,16
1501622109605671,-2,-2,6,0,2,7,-10,-4
1501622109605671,-4,0,2,4,-6,10,7,-10
1501622109612718,-1,-3,-7,-4,10,5,2,11
1501622109612718,-20,-6,0,-1,4,-11,-11,-7
1501622109652696,10,7,9,4,-4,2,-13,-13
1501622109652696,3,-4,-18,-9,-25,-13,-8,2
1501622109652696,-5,-5,4,11,67,28,2,-1
1501622109652696,3,6,-1,-8,-32,-17,9,9
1501622109653694,1,-11,-15,-6,8,15,19,1
1501622109653694,4,4,5,-6,-74,-33,-11,1
1501622109656719,0,-4,-4,3,37,2,-1,1
1501622109656719,-2,-3,1,5,13,6,10,3
1501622109663757,-15,-9,-11,-2,-3,-11,-18,-18
1501622109663757,-7,1,0,0,-8,-5,3,3
1501622109671740,2,7,4,-6,-56,-18,-10,-6
1501622109671740,12,-7,1,11,56,16,17,-5
1501622109680715,-8,3,5,7,28,3,3,4
1501622109680715,-6,-7,5,0,3,9,2,-7
1501622109693778,-7,0,-11,-7,-24,-25,-10,-4
1501622109693778,-1,2,-1,3,19,16,-19,-17
1501622109702786,-8,-3,3,-3,-14,-3,8,5
1501622109702786,7,-1,1,3,22,14,17,3
1501622109708789,-4,-3,9,4,-13,-28,3,-4
1501622109708789,11,4,-3,-3,4,5,-3,7
1501622109723767,4,3,2,-5,-33,-23,-11,3
1501622109723767,-5,1,-2,-3,16,2,1,-6
1501622109731770,-2,-6,-8,2,15,17,-18,1
1501622109731770,-13,-2,-1,-9,-39,-14,-13,-3
1501622109740760,-5,-6,-1,-3,-8,-11,-5,-1
1501622109740760,13,2,1,2,33,13,37,9
1501622109753769,0,5,-2,-15,-48,-9,8,-4
1501622109753769,-6,-7,-3,4,46,10,-8,-9
1501622109762776,2,0,4,-5,-21,-2,8,11
1501622109762776,13,7,24,9,10,11,13,-8
1501622109768776,-6,-30,-46,-17,-52,-4,13,6
1501622109768776,2,9,5,-1,5,-2,8,3
1501622109785789,-4,-2,-4,-1,15,5,10,-5
1501622109785789,-12,-4,2,3,-10,-28,-28,-17
1501622109791818,4,7,10,-1,36,22,6,0
1501622109791818,1,-7,-9,-4,-17,14,-5,10
1501622109800794,4,2,-2,-7,-36,-11,-11,-15
1501622109800794,-2,2,-8,-6,-15,-22,-18,10
1501622109813833,7,5,12,10,5,20,5,7
1501622109813833,-7,-3,-6,-7,-20,-10,-20,2
1501622109822818,7,5,3,0,2,1,-15,5
